mode,delta_time_allowed_minutes,cases,percentage_selections_differ,mean_static_predicted_reduction_vs_fastest,mean_airpath_predicted_reduction_vs_fastest,mean_oracle_reduction_static_selected_vs_fastest,mean_oracle_reduction_airpath_selected_vs_fastest,differing_cases,mean_oracle_percent_improvement_when_differ
motorbike,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
motorbike,1.0,30,6.666666666666667,0.2523225638937949,0.030272056677695978,0.04795106116190671,0.08448668164903855,2,0.1764563613413342
motorbike,2.0,30,6.666666666666667,0.2523225638937949,0.030272056677695978,0.04795106116190671,0.08448668164903855,2,0.1764563613413342
motorbike,3.0,30,6.666666666666667,0.2523225638937949,0.030272056677695978,0.04795106116190671,0.08448668164903855,2,0.1764563613413342
motorbike,5.0,30,6.666666666666667,0.2523225638937949,0.030272056677695978,0.04795106116190671,0.08448668164903855,2,0.1764563613413342
motorbike,10.0,30,6.666666666666667,0.2523225638937949,0.030272056677695978,0.04795106116190671,0.08448668164903855,2,0.1764563613413342
walking,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
walking,1.0,30,3.3333333333333335,0.37163923460799425,0.24258172901215477,1.0107957308698587,1.0105646993960742,1,-0.00035103531946526466
walking,2.0,30,6.666666666666667,1.069833940057716,0.24258172901215477,0.9659085604559323,1.0105646993960742,2,0.035230834629981375
walking,3.0,30,6.666666666666667,1.069833940057716,0.24258172901215477,0.9659085604559323,1.0105646993960742,2,0.035230834629981375
walking,5.0,30,6.666666666666667,1.069833940057716,0.24258172901215477,0.9659085604559323,1.0105646993960742,2,0.035230834629981375
walking,10.0,30,6.666666666666667,1.069833940057716,0.24258172901215477,0.9659085604559323,1.0105646993960742,2,0.035230834629981375
