scenario_id,mode,route_id,total_distance_m,total_travel_time_minutes,segment_count,static_exposure_index,airpath_exposure_index,oracle_exposure_index,absolute_exposure_difference_airpath_minus_static,percentage_exposure_difference_airpath_vs_static,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest,evaluation_label,forecaster,exposure_framework_b
od_01,walking,walking-1,3333.8306473718903,40.00596776846269,111,956.8968717901021,980.5865203906664,1280.4043283028204,23.689648600564283,2.475674160816012,1.0,0.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_01,walking,walking-2,3462.8236191283786,41.55388342954054,105,1001.1957812932716,1022.5592009316293,1338.0800561695849,21.363419638357755,2.13379041717116,0.014084507042253521,0.9859154929577465,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_01,walking,walking-3,3879.232303808173,46.55078764569807,143,1131.8518746033212,1151.956908924534,1511.0731188913771,20.10503432121277,1.7762955358676202,0.01195219123505976,0.9880478087649402,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_01,walking,walking-4,4290.157666544244,51.48189199853094,191,1217.099703689074,1253.5250353831686,1630.9607156784257,36.425331694094666,2.9927976799015026,0.027210884353741496,0.9727891156462585,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_01,walking,walking-5,4479.890669998318,53.758688039979816,215,1300.286300534443,1325.9018728834844,1734.275710618514,25.615572349041486,1.9699947879565436,0.05844155844155844,0.9415584415584416,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_01,walking,walking-6,3940.520850847591,47.2862502101711,135,1138.5369973127688,1163.5007197596406,1524.6949558703052,24.96372244687177,2.192614074535336,0.28125,0.71875,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_01,walking,walking-7,3334.877228844938,40.01852674613926,111,957.1956381696886,980.8928408320277,1280.8036211197395,23.697202662339123,2.4756906234604217,0.9473684210526315,0.052631578947368474,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_01,walking,walking-8,3337.200169121715,40.04640202946059,114,957.8480142873669,981.5650483050073,1281.6627742031692,23.717034017640344,2.4760748744972525,0.9565217391304348,0.04347826086956519,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_01,motorbike,motorbike-1,3429.2941499099547,8.230305959783891,119,196.84975694754846,201.72993750647888,263.2909483026875,4.8801805589304195,2.4791397432259803,1.0,0.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
od_01,motorbike,motorbike-2,3720.5451721320164,8.92930841311684,139,216.61179408194428,220.6915614608786,289.10199771190673,4.079767378934321,1.8834465575733812,0.011764705882352941,0.9882352941176471,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure
