route_id,segment_id,segment_index,mode,latitude,longitude,segment_geometry,segment_duration_seconds,route_departure_time,segment_entry_time,requested_target_time,supported_target_time,segment_endpoint_arrival_time,forecasting_origin_time,forecast_horizon_hours,target_time_mapping_method,target_time_is_exact,mapping_offset_seconds,station_values_target_time,station_value_source,station_values_used,predicted_pm25,spatial_method,spatial_power,nearest_station_id,nearest_station_distance_km,second_nearest_station_distance_km,contributing_station_count,maximum_idw_weight,idw_weight_concentration,effective_station_count,reliability_status
walking-1,289494377:6:r,11,walking,10.781634100000002,106.66617655,"[[10.7816144,106.6661531],[10.7816538,106.6662]]",4.853405452161755,2022-02-28T06:00:00,2022-02-28T06:10:44.283773450,2022-02-28T06:10:46.710476176,2022-02-28T07:00:00,2022-02-28T06:10:49.137178902,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,2953.289523,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",32.081782866255836,idw,1.0,6,0.745190662042047,2.4345458489388148,6,0.5938740730893891,0.39957343169794346,2.502668898056134,supported
walking-1,289494377:5:r,12,walking,10.781708850000001,106.6662656,"[[10.7816538,106.6662],[10.7817639,106.6663312]]",13.570915259319548,2022-02-28T06:00:00,2022-02-28T06:10:49.137178902,2022-02-28T06:10:55.922636532,2022-02-28T07:00:00,2022-02-28T06:11:02.708094161,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,2944.077363,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",32.05836071240131,idw,1.0,6,0.7562399556169751,2.4271263364833953,6,0.5899900351224233,0.3959505142975196,2.5255681300835335,supported
walking-1,289494377:4:r,13,walking,10.781766600000001,106.6663359,"[[10.7817639,106.6663312],[10.7817693,106.6663406]]",0.8564144222165885,2022-02-28T06:00:00,2022-02-28T06:11:02.708094161,2022-02-28T06:11:03.136301372,2022-02-28T07:00:00,2022-02-28T06:11:03.564508584,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,2936.863698,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",32.039760983167476,idw,1.0,6,0.7649747752311411,2.4212659728122725,6,0.5869477350304177,0.393142729453156,2.5436054773058006,supported
walking-1,289494377:3:r,14,walking,10.78176975,106.66634605,"[[10.7817693,106.6663406],[10.7817702,106.6663515]]",0.8602766362044205,2022-02-28T06:00:00,2022-02-28T06:11:03.564508584,2022-02-28T06:11:03.994646902,2022-02-28T07:00:00,2022-02-28T06:11:04.424785220,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,2936.005353,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",32.03695009019547,idw,1.0,6,0.7661296045159633,2.4202788332228367,6,0.5865402677018076,0.3927711543784976,2.546011815919508,supported
walking-1,289494377:2:r,15,walking,10.7817683,106.66635665000001,"[[10.7817702,106.6663515],[10.7817664,106.6663618]]",0.8653102680407531,2022-02-28T06:00:00,2022-02-28T06:11:04.424785220,2022-02-28T06:11:04.857440354,2022-02-28T07:00:00,2022-02-28T06:11:05.290095488,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,2935.142559,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",32.0339024079406,idw,1.0,6,0.7672364480723299,2.4191171924566457,6,0.5861429205537727,0.39241175418243435,2.548343645015013,supported
walking-1,289494377:1:r,16,walking,10.7817625,106.6663657,"[[10.7817664,106.6663618],[10.7817586,106.6663696]]",0.8753758019212898,2022-02-28T06:00:00,2022-02-28T06:11:05.290095488,2022-02-28T06:11:05.727783389,2022-02-28T07:00:00,2022-02-28T06:11:06.165471290,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,2934.272216,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",32.031191368432324,idw,1.0,6,0.7680866331656101,2.417999501740988,6,0.5858304268720296,0.39213199084178757,2.5501617398093575,supported
walking-1,289494377:0:r,17,walking,10.7816507,106.66645535,"[[10.7817586,106.6663696],[10.7815428,106.6665411]]",21.91853549655546,2022-02-28T06:00:00,2022-02-28T06:11:06.165471290,2022-02-28T06:11:17.124739038,2022-02-28T07:00:00,2022-02-28T06:11:28.084006786,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,2922.87526,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",32.00279871783759,idw,1.0,6,0.7755108958879162,2.4054476773382607,6,0.5830164595802639,0.38965854906646724,2.566349442084028,supported
walking-1,694637565:0:f,18,walking,10.7815084,106.6665679,"[[10.7815428,106.6665411],[10.781474,106.6665947]]",6.936150109063491,2022-02-28T06:00:00,2022-02-28T06:11:28.084006786,2022-02-28T06:11:31.552081841,2022-02-28T07:00:00,2022-02-28T06:11:35.020156895,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,2908.447918,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",31.96639400431033,idw,1.0,6,0.7851521400251332,2.389692994640398,6,0.5794019956228301,0.38651561962274134,2.5872175643924824,supported
walking-1,410150107:0:f,19,walking,10.781590999999999,106.66672395,"[[10.781474,106.6665947],[10.781708,106.6668532]]",27.645781520675644,2022-02-28T06:00:00,2022-02-28T06:11:35.020156895,2022-02-28T06:11:48.843047656,2022-02-28T07:00:00,2022-02-28T06:12:02.665938416,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,2891.156952,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",31.922788165862805,idw,1.0,6,0.8033885610248012,2.375375244285393,6,0.5731539553241942,0.3810020277666441,2.624657946997803,supported
walking-1,520723263:0:f,20,walking,10.7817453,106.66689400000001,"[[10.781708,106.6668532],[10.7817826,106.6669348]]",8.766787040109001,2022-02-28T06:00:00,2022-02-28T06:12:02.665938416,2022-02-28T06:12:07.049331936,2022-02-28T07:00:00,2022-02-28T06:12:11.432725456,2022-02-28T06:00:00,1,ceiling_to_next_hour_no_interpolation,False,2872.950668,2022-02-28T07:00:00,oracle_observed,"{""1"":25.08333333,""2"":50.37666667,""3"":52.32333333,""4"":35.202,""5"":13.78333333,""6"":33.305}",31.876677820672025,idw,1.0,6,0.8245173267880993,2.361655158997175,6,0.5661374875757679,0.3749098347212092,2.6673079961842583,supported
