departure_time,mode,delta_time_allowed_minutes,cases,percentage_selections_differ,mean_static_predicted_reduction_vs_fastest,mean_airpath_predicted_reduction_vs_fastest,mean_oracle_reduction_static_selected_vs_fastest,mean_oracle_reduction_airpath_selected_vs_fastest,differing_cases,mean_oracle_percent_improvement_when_differ
2022-02-27T06:00:00,motorbike,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T06:00:00,motorbike,1.0,30,3.3333333333333335,0.3419489227892399,0.07469698147322863,0.15933708158261198,0.20572919553403418,1,0.4965271922133093
2022-02-27T06:00:00,motorbike,2.0,30,3.3333333333333335,0.3419489227892399,0.07469698147322863,0.15933708158261198,0.20572919553403418,1,0.4965271922133093
2022-02-27T06:00:00,motorbike,3.0,30,3.3333333333333335,0.3419489227892399,0.07469698147322863,0.15933708158261198,0.20572919553403418,1,0.4965271922133093
2022-02-27T06:00:00,motorbike,5.0,30,3.3333333333333335,0.3419489227892399,0.07469698147322863,0.15933708158261198,0.20572919553403418,1,0.4965271922133093
2022-02-27T06:00:00,motorbike,10.0,30,3.3333333333333335,0.3419489227892399,0.07469698147322863,0.15933708158261198,0.20572919553403418,1,0.4965271922133093
2022-02-27T06:00:00,walking,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T06:00:00,walking,1.0,30,6.666666666666667,0.1681822158947019,0.0,0.16721717710177775,0.0,2,-0.2097430208380887
2022-02-27T06:00:00,walking,2.0,30,6.666666666666667,1.1069151798746513,0.027051441951812194,0.6639023622928562,0.49668518519107846,2,-0.2097430208380887
2022-02-27T06:00:00,walking,3.0,30,6.666666666666667,1.1069151798746513,0.027051441951812194,0.6639023622928562,0.49668518519107846,2,-0.2097430208380887
2022-02-27T06:00:00,walking,5.0,30,6.666666666666667,1.1069151798746513,0.027051441951812194,0.6639023622928562,0.49668518519107846,2,-0.2097430208380887
2022-02-27T06:00:00,walking,10.0,30,6.666666666666667,1.1069151798746513,0.027051441951812194,0.6639023622928562,0.49668518519107846,2,-0.2097430208380887
2022-02-27T08:00:00,motorbike,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T08:00:00,motorbike,1.0,30,0.0,0.4114951189134767,0.1156272591396809,-0.11957585261355727,-0.11957585261355727,0,
2022-02-27T08:00:00,motorbike,2.0,30,0.0,0.4114951189134767,0.1156272591396809,-0.11957585261355727,-0.11957585261355727,0,
2022-02-27T08:00:00,motorbike,3.0,30,0.0,0.4114951189134767,0.1156272591396809,-0.11957585261355727,-0.11957585261355727,0,
2022-02-27T08:00:00,motorbike,5.0,30,0.0,0.4114951189134767,0.1156272591396809,-0.11957585261355727,-0.11957585261355727,0,
2022-02-27T08:00:00,motorbike,10.0,30,0.0,0.4114951189134767,0.1156272591396809,-0.11957585261355727,-0.11957585261355727,0,
2022-02-27T08:00:00,walking,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T08:00:00,walking,1.0,30,3.3333333333333335,0.0032082487318196703,0.0,-0.002988567327588498,0.0,1,0.007607803758584842
2022-02-27T08:00:00,walking,2.0,30,3.3333333333333335,1.3114344321644467,0.18666405499595082,-0.6073582295547756,-0.6043696622271871,1,0.007607803758584842
2022-02-27T08:00:00,walking,3.0,30,3.3333333333333335,1.3114344321644467,0.18666405499595082,-0.6073582295547756,-0.6043696622271871,1,0.007607803758584842
2022-02-27T08:00:00,walking,5.0,30,3.3333333333333335,1.3114344321644467,0.18666405499595082,-0.6073582295547756,-0.6043696622271871,1,0.007607803758584842
2022-02-27T08:00:00,walking,10.0,30,3.3333333333333335,1.3114344321644467,0.18666405499595082,-0.6073582295547756,-0.6043696622271871,1,0.007607803758584842
2022-02-27T12:00:00,motorbike,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T12:00:00,motorbike,1.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T12:00:00,motorbike,2.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T12:00:00,motorbike,3.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T12:00:00,motorbike,5.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T12:00:00,motorbike,10.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T12:00:00,walking,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T12:00:00,walking,1.0,30,0.0,0.1101166879561788,0.014594164148339436,-0.10456952674640357,-0.10456952674640357,0,
2022-02-27T12:00:00,walking,2.0,30,0.0,0.1101166879561788,0.014594164148339436,-0.10456952674640357,-0.10456952674640357,0,
2022-02-27T12:00:00,walking,3.0,30,0.0,0.1101166879561788,0.014594164148339436,-0.10456952674640357,-0.10456952674640357,0,
2022-02-27T12:00:00,walking,5.0,30,0.0,0.1101166879561788,0.014594164148339436,-0.10456952674640357,-0.10456952674640357,0,
2022-02-27T12:00:00,walking,10.0,30,0.0,0.1101166879561788,0.014594164148339436,-0.10456952674640357,-0.10456952674640357,0,
2022-02-27T17:00:00,motorbike,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T17:00:00,motorbike,1.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T17:00:00,motorbike,2.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T17:00:00,motorbike,3.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T17:00:00,motorbike,5.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T17:00:00,motorbike,10.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T17:00:00,walking,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T17:00:00,walking,1.0,30,0.0,0.12759910356452717,0.16374638264434604,0.13557908879148878,0.13557908879148878,0,
2022-02-27T17:00:00,walking,2.0,30,0.0,0.12759910356452717,0.16374638264434604,0.13557908879148878,0.13557908879148878,0,
2022-02-27T17:00:00,walking,3.0,30,0.0,0.12759910356452717,0.16374638264434604,0.13557908879148878,0.13557908879148878,0,
2022-02-27T17:00:00,walking,5.0,30,0.0,0.12759910356452717,0.16374638264434604,0.13557908879148878,0.13557908879148878,0,
2022-02-27T17:00:00,walking,10.0,30,0.0,0.12759910356452717,0.16374638264434604,0.13557908879148878,0.13557908879148878,0,
2022-02-27T20:00:00,motorbike,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T20:00:00,motorbike,1.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T20:00:00,motorbike,2.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T20:00:00,motorbike,3.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T20:00:00,motorbike,5.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T20:00:00,motorbike,10.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T20:00:00,walking,0.0,30,0.0,0.0,0.0,0.0,0.0,0,
2022-02-27T20:00:00,walking,1.0,30,0.0,0.11981054351143712,0.10197842524156991,0.27200871613321925,0.27200871613321925,0,
2022-02-27T20:00:00,walking,2.0,30,0.0,0.11981054351143712,0.10197842524156991,0.27200871613321925,0.27200871613321925,0,
2022-02-27T20:00:00,walking,3.0,30,0.0,0.11981054351143712,0.10197842524156991,0.27200871613321925,0.27200871613321925,0,
2022-02-27T20:00:00,walking,5.0,30,0.0,0.11981054351143712,0.10197842524156991,0.27200871613321925,0.27200871613321925,0,
2022-02-27T20:00:00,walking,10.0,30,0.0,0.11981054351143712,0.10197842524156991,0.27200871613321925,0.27200871613321925,0,
