departure_time,scenario_id,mode,route_count,spearman_static_vs_airpath,kendall_tau_a_static_vs_airpath,top_1_agreement,routes_with_material_rank_change,percentage_routes_with_material_rank_change
2022-02-27T06:00:00,od_01,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_01,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_02,motorbike,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T06:00:00,od_02,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_03,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_03,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_04,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_04,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_05,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_05,walking,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T06:00:00,od_06,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_06,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_07,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_07,walking,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T06:00:00,od_08,motorbike,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T06:00:00,od_08,walking,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T06:00:00,od_09,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_09,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_10,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_10,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_11,motorbike,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T06:00:00,od_11,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_12,motorbike,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T06:00:00,od_12,walking,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T06:00:00,od_13,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_13,walking,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T06:00:00,od_14,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_14,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_15,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_15,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_16,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_16,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_17,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_17,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_18,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_18,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_19,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_19,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_20,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_20,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_21,motorbike,8,0.9761904761904763,0.9285714285714286,False,2,25.0
2022-02-27T06:00:00,od_21,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_22,motorbike,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T06:00:00,od_22,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_23,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_23,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_24,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_24,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_25,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_25,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_26,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_26,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_27,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_27,walking,8,0.8571428571428572,0.7857142857142857,False,4,50.0
2022-02-27T06:00:00,od_28,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_28,walking,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_29,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_29,walking,8,0.9523809523809524,0.8571428571428571,False,4,50.0
2022-02-27T06:00:00,od_30,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T06:00:00,od_30,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_01,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_01,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_02,motorbike,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T08:00:00,od_02,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_03,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_03,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_04,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_04,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_05,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_05,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_06,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_06,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_07,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_07,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_08,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_08,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_09,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_09,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_10,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_10,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_11,motorbike,8,0.9761904761904763,0.9285714285714286,True,2,25.0
2022-02-27T08:00:00,od_11,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_12,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_12,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_13,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_13,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_14,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_14,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_15,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_15,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_16,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_16,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_17,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_17,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_18,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_18,walking,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_19,motorbike,8,1.0,1.0,True,0,0.0
2022-02-27T08:00:00,od_19,walking,8,1.0,1.0,True,0,0.0
