scenario_id,mode,candidate_count,mean_pairwise_edge_jaccard,maximum_pairwise_edge_jaccard,minimum_pairwise_edge_jaccard
od_01,motorbike,8,0.010306073508805103,0.07692307692307693,0.0
od_01,walking,8,0.15959259142293325,0.9565217391304348,0.0024691358024691358
od_02,motorbike,8,0.025020989386548863,0.09967845659163987,0.005333333333333333
od_02,walking,8,0.06014025951168339,0.656441717791411,0.006060606060606061
od_03,motorbike,8,0.009909667691274233,0.04745762711864407,0.0
od_03,walking,8,0.03346838145491825,0.144,0.0
od_04,motorbike,8,0.011321702934667806,0.04154302670623145,0.004335260115606936
od_04,walking,8,0.2580388256482206,0.9794871794871794,0.006772009029345372
od_05,motorbike,8,0.011532850341793594,0.05189620758483034,0.0
od_05,walking,8,0.3589616470623106,0.9840637450199203,0.004975124378109453
od_06,motorbike,8,0.013976088391274554,0.1941747572815534,0.0
od_06,walking,8,0.21961251477823887,0.9733333333333334,0.0
od_07,motorbike,8,0.023515430098590976,0.25416666666666665,0.0
od_07,walking,8,0.14602195087547104,0.9672131147540983,0.0
od_08,motorbike,8,0.0044106043219446995,0.048484848484848485,0.0
od_08,walking,8,0.11045543551479645,0.9885057471264368,0.0
od_09,motorbike,8,0.02189339204074049,0.13636363636363635,0.0
od_09,walking,8,0.1446739805205823,0.9607843137254902,0.0
od_10,motorbike,8,0.012185260169224643,0.08609271523178808,0.0021645021645021645
od_10,walking,8,0.19330166068359347,0.9695121951219512,0.0024154589371980675
