scenario_id,mode,delta_time_allowed_minutes,epsilon_internal,maximum_feasible_time_minutes,route_id,rank,route_type,travel_time_minutes,additional_time_vs_fastest_minutes,distance_m,predicted_exposure_index,predicted_exposure_reduction_vs_fastest,oracle_exposure_index,oracle_exposure_reduction_vs_fastest,segment_count,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest,available_feasible_alternatives,requested_alternative_count,fewer_than_requested_alternatives
od_01,motorbike,0.0,0.0,8.230305959783891,motorbike-1,0,fastest,8.230305959783891,0.0,3429.2941499099547,213.6685357961483,0.0,263.2909483026875,0.0,119,1.0,0.0,0,3,True
od_01,motorbike,1.0,0.12150216588378905,9.230305959783891,motorbike-1,0,fastest,8.230305959783891,0.0,3429.2941499099547,213.6685357961483,0.0,263.2909483026875,0.0,119,1.0,0.0,1,3,True
od_01,motorbike,1.0,0.12150216588378905,9.230305959783891,motorbike-2,1,AIRPATH alternative,8.92930841311684,0.6990024533329482,3720.5451721320164,233.6109064012656,-19.942370605117304,289.10199771190673,-25.81104940921921,139,0.011764705882352941,0.9882352941176471,1,3,True
od_01,motorbike,2.0,0.2430043317675781,10.230305959783891,motorbike-1,0,fastest,8.230305959783891,0.0,3429.2941499099547,213.6685357961483,0.0,263.2909483026875,0.0,119,1.0,0.0,1,3,True
od_01,motorbike,2.0,0.2430043317675781,10.230305959783891,motorbike-2,1,AIRPATH alternative,8.92930841311684,0.6990024533329482,3720.5451721320164,233.6109064012656,-19.942370605117304,289.10199771190673,-25.81104940921921,139,0.011764705882352941,0.9882352941176471,1,3,True
od_01,motorbike,3.0,0.36450649765136717,11.230305959783891,motorbike-1,0,fastest,8.230305959783891,0.0,3429.2941499099547,213.6685357961483,0.0,263.2909483026875,0.0,119,1.0,0.0,2,3,True
od_01,motorbike,3.0,0.36450649765136717,11.230305959783891,motorbike-2,1,AIRPATH alternative,8.92930841311684,0.6990024533329482,3720.5451721320164,233.6109064012656,-19.942370605117304,289.10199771190673,-25.81104940921921,139,0.011764705882352941,0.9882352941176471,2,3,True
od_01,motorbike,3.0,0.36450649765136717,11.230305959783891,motorbike-3,2,AIRPATH alternative,10.483228146866388,2.252922187082497,4368.011727860995,269.74956897313945,-56.081033176991156,330.71607282130464,-67.42512451861711,203,0.07692307692307693,0.9230769230769231,2,3,True
od_01,motorbike,5.0,0.6075108294189453,13.230305959783891,motorbike-1,0,fastest,8.230305959783891,0.0,3429.2941499099547,213.6685357961483,0.0,263.2909483026875,0.0,119,1.0,0.0,5,3,False
od_01,motorbike,5.0,0.6075108294189453,13.230305959783891,motorbike-2,1,AIRPATH alternative,8.92930841311684,0.6990024533329482,3720.5451721320164,233.6109064012656,-19.942370605117304,289.10199771190673,-25.81104940921921,139,0.011764705882352941,0.9882352941176471,5,3,False
od_01,motorbike,5.0,0.6075108294189453,13.230305959783891,motorbike-3,2,AIRPATH alternative,10.483228146866388,2.252922187082497,4368.011727860995,269.74956897313945,-56.081033176991156,330.71607282130464,-67.42512451861711,203,0.07692307692307693,0.9230769230769231,5,3,False
od_01,motorbike,5.0,0.6075108294189453,13.230305959783891,motorbike-5,3,AIRPATH alternative,11.71986992059877,3.4895639608148787,4883.279133582821,300.26261094086686,-86.59407514471857,366.8460023055001,-103.5550540028126,218,0.012012012012012012,0.987987987987988,5,3,False
od_01,motorbike,10.0,1.2150216588378906,18.23030595978389,motorbike-1,0,fastest,8.230305959783891,0.0,3429.2941499099547,213.6685357961483,0.0,263.2909483026875,0.0,119,1.0,0.0,6,3,False
od_01,motorbike,10.0,1.2150216588378906,18.23030595978389,motorbike-2,1,AIRPATH alternative,8.92930841311684,0.6990024533329482,3720.5451721320164,233.6109064012656,-19.942370605117304,289.10199771190673,-25.81104940921921,139,0.011764705882352941,0.9882352941176471,6,3,False
od_01,motorbike,10.0,1.2150216588378906,18.23030595978389,motorbike-3,2,AIRPATH alternative,10.483228146866388,2.252922187082497,4368.011727860995,269.74956897313945,-56.081033176991156,330.71607282130464,-67.42512451861711,203,0.07692307692307693,0.9230769230769231,6,3,False
od_01,motorbike,10.0,1.2150216588378906,18.23030595978389,motorbike-5,3,AIRPATH alternative,11.71986992059877,3.4895639608148787,4883.279133582821,300.26261094086686,-86.59407514471857,366.8460023055001,-103.5550540028126,218,0.012012012012012012,0.987987987987988,6,3,False
od_01,walking,0.0,0.0,40.00596776846269,walking-1,0,fastest,40.00596776846269,0.0,3333.8306473718903,1038.3449915903266,0.0,1280.4043283028204,0.0,111,1.0,0.0,0,3,True
od_01,walking,1.0,0.02499627070110063,41.00596776846269,walking-1,0,fastest,40.00596776846269,0.0,3333.8306473718903,1038.3449915903266,0.0,1280.4043283028204,0.0,111,1.0,0.0,2,3,True
od_01,walking,1.0,0.02499627070110063,41.00596776846269,walking-7,1,AIRPATH alternative,40.01852674613926,0.012558977676569327,3334.877228844938,1038.6694292986172,-0.3244377082905885,1280.8036211197395,-0.39929281691911456,111,0.9473684210526315,0.052631578947368474,2,3,True
