scenario_id,mode,delta_time_allowed_minutes,epsilon_internal,maximum_feasible_time_minutes,feasible_route_count,feasible_alternative_count,fastest_route_id,predicted_optimal_route_id,oracle_optimal_route_id,predicted_optimal_travel_time_minutes,predicted_optimal_additional_time_minutes,predicted_optimal_predicted_exposure,predicted_optimal_oracle_exposure,predicted_exposure_reduction_vs_fastest,oracle_exposure_reduction_vs_fastest,oracle_exposure_fastest,oracle_exposure_oracle_optimal,decision_regret,oracle_optimal_agreement
od_01,motorbike,0.0,0.0,8.230305959783891,1,0,motorbike-1,motorbike-1,motorbike-1,8.230305959783891,0.0,213.6685357961483,263.2909483026875,0.0,0.0,263.2909483026875,263.2909483026875,0.0,True
od_01,motorbike,1.0,0.12150216588378905,9.230305959783891,2,1,motorbike-1,motorbike-1,motorbike-1,8.230305959783891,0.0,213.6685357961483,263.2909483026875,0.0,0.0,263.2909483026875,263.2909483026875,0.0,True
od_01,motorbike,2.0,0.2430043317675781,10.230305959783891,2,1,motorbike-1,motorbike-1,motorbike-1,8.230305959783891,0.0,213.6685357961483,263.2909483026875,0.0,0.0,263.2909483026875,263.2909483026875,0.0,True
od_01,motorbike,3.0,0.36450649765136717,11.230305959783891,3,2,motorbike-1,motorbike-1,motorbike-1,8.230305959783891,0.0,213.6685357961483,263.2909483026875,0.0,0.0,263.2909483026875,263.2909483026875,0.0,True
od_01,motorbike,5.0,0.6075108294189453,13.230305959783891,6,5,motorbike-1,motorbike-1,motorbike-1,8.230305959783891,0.0,213.6685357961483,263.2909483026875,0.0,0.0,263.2909483026875,263.2909483026875,0.0,True
od_01,motorbike,10.0,1.2150216588378906,18.23030595978389,7,6,motorbike-1,motorbike-1,motorbike-1,8.230305959783891,0.0,213.6685357961483,263.2909483026875,0.0,0.0,263.2909483026875,263.2909483026875,0.0,True
od_01,walking,0.0,0.0,40.00596776846269,1,0,walking-1,walking-1,walking-1,40.00596776846269,0.0,1038.3449915903266,1280.4043283028204,0.0,0.0,1280.4043283028204,1280.4043283028204,0.0,True
od_01,walking,1.0,0.02499627070110063,41.00596776846269,3,2,walking-1,walking-1,walking-1,40.00596776846269,0.0,1038.3449915903266,1280.4043283028204,0.0,0.0,1280.4043283028204,1280.4043283028204,0.0,True
od_01,walking,2.0,0.04999254140220126,42.00596776846269,4,3,walking-1,walking-1,walking-1,40.00596776846269,0.0,1038.3449915903266,1280.4043283028204,0.0,0.0,1280.4043283028204,1280.4043283028204,0.0,True
od_01,walking,3.0,0.07498881210330188,43.00596776846269,4,3,walking-1,walking-1,walking-1,40.00596776846269,0.0,1038.3449915903266,1280.4043283028204,0.0,0.0,1280.4043283028204,1280.4043283028204,0.0,True
od_01,walking,5.0,0.12498135350550314,45.00596776846269,4,3,walking-1,walking-1,walking-1,40.00596776846269,0.0,1038.3449915903266,1280.4043283028204,0.0,0.0,1280.4043283028204,1280.4043283028204,0.0,True
od_01,walking,10.0,0.24996270701100629,50.00596776846269,6,5,walking-1,walking-1,walking-1,40.00596776846269,0.0,1038.3449915903266,1280.4043283028204,0.0,0.0,1280.4043283028204,1280.4043283028204,0.0,True
od_02,motorbike,0.0,0.0,9.67481945603514,1,0,motorbike-1,motorbike-1,motorbike-1,9.67481945603514,0.0,259.8268956128702,380.0621783417512,0.0,0.0,380.0621783417512,380.0621783417512,0.0,True
od_02,motorbike,1.0,0.10336110193520989,10.67481945603514,3,2,motorbike-1,motorbike-1,motorbike-1,9.67481945603514,0.0,259.8268956128702,380.0621783417512,0.0,0.0,380.0621783417512,380.0621783417512,0.0,True
od_02,motorbike,2.0,0.20672220387041979,11.67481945603514,5,4,motorbike-1,motorbike-1,motorbike-1,9.67481945603514,0.0,259.8268956128702,380.0621783417512,0.0,0.0,380.0621783417512,380.0621783417512,0.0,True
od_02,motorbike,3.0,0.3100833058056297,12.67481945603514,6,5,motorbike-1,motorbike-1,motorbike-1,9.67481945603514,0.0,259.8268956128702,380.0621783417512,0.0,0.0,380.0621783417512,380.0621783417512,0.0,True
od_02,motorbike,5.0,0.5168055096760494,14.67481945603514,7,6,motorbike-1,motorbike-1,motorbike-1,9.67481945603514,0.0,259.8268956128702,380.0621783417512,0.0,0.0,380.0621783417512,380.0621783417512,0.0,True
od_02,motorbike,10.0,1.0336110193520989,19.674819456035138,8,7,motorbike-1,motorbike-1,motorbike-1,9.67481945603514,0.0,259.8268956128702,380.0621783417512,0.0,0.0,380.0621783417512,380.0621783417512,0.0,True
od_02,walking,0.0,0.0,48.3740972801757,1,0,walking-1,walking-1,walking-1,48.3740972801757,0.0,1299.1344780643517,1900.3108917087563,0.0,0.0,1900.3108917087563,1900.3108917087563,0.0,True
od_02,walking,1.0,0.02067222038704198,49.3740972801757,2,1,walking-1,walking-1,walking-1,48.3740972801757,0.0,1299.1344780643517,1900.3108917087563,0.0,0.0,1900.3108917087563,1900.3108917087563,0.0,True
od_02,walking,2.0,0.04134444077408396,50.3740972801757,3,2,walking-1,walking-1,walking-1,48.3740972801757,0.0,1299.1344780643517,1900.3108917087563,0.0,0.0,1900.3108917087563,1900.3108917087563,0.0,True
od_02,walking,3.0,0.06201666116112594,51.3740972801757,4,3,walking-1,walking-1,walking-1,48.3740972801757,0.0,1299.1344780643517,1900.3108917087563,0.0,0.0,1900.3108917087563,1900.3108917087563,0.0,True
od_02,walking,5.0,0.10336110193520989,53.3740972801757,4,3,walking-1,walking-1,walking-1,48.3740972801757,0.0,1299.1344780643517,1900.3108917087563,0.0,0.0,1900.3108917087563,1900.3108917087563,0.0,True
od_02,walking,10.0,0.20672220387041979,58.3740972801757,6,5,walking-1,walking-1,walking-1,48.3740972801757,0.0,1299.1344780643517,1900.3108917087563,0.0,0.0,1900.3108917087563,1900.3108917087563,0.0,True
od_03,motorbike,0.0,0.0,6.910009956562447,1,0,motorbike-1,motorbike-1,motorbike-1,6.910009956562447,0.0,179.34601691546172,243.18054346018135,0.0,0.0,243.18054346018135,243.18054346018135,0.0,True
od_03,motorbike,1.0,0.14471759176704202,7.910009956562447,3,2,motorbike-1,motorbike-1,motorbike-1,6.910009956562447,0.0,179.34601691546172,243.18054346018135,0.0,0.0,243.18054346018135,243.18054346018135,0.0,True
od_03,motorbike,2.0,0.28943518353408404,8.910009956562448,3,2,motorbike-1,motorbike-1,motorbike-1,6.910009956562447,0.0,179.34601691546172,243.18054346018135,0.0,0.0,243.18054346018135,243.18054346018135,0.0,True
od_03,motorbike,3.0,0.4341527753011261,9.910009956562448,5,4,motorbike-1,motorbike-1,motorbike-1,6.910009956562447,0.0,179.34601691546172,243.18054346018135,0.0,0.0,243.18054346018135,243.18054346018135,0.0,True
od_03,motorbike,5.0,0.7235879588352102,11.910009956562448,7,6,motorbike-1,motorbike-1,motorbike-1,6.910009956562447,0.0,179.34601691546172,243.18054346018135,0.0,0.0,243.18054346018135,243.18054346018135,0.0,True
od_03,motorbike,10.0,1.4471759176704204,16.910009956562448,8,7,motorbike-1,motorbike-1,motorbike-1,6.910009956562447,0.0,179.34601691546172,243.18054346018135,0.0,0.0,243.18054346018135,243.18054346018135,0.0,True
od_03,walking,0.0,0.0,34.422845694421525,1,0,walking-1,walking-1,walking-1,34.422845694421525,0.0,893.4653089473137,1211.7332515188175,0.0,0.0,1211.7332515188175,1211.7332515188175,0.0,True
