scenario_id,mode,delta_time_allowed_minutes,epsilon_internal,fastest_time_minutes,maximum_feasible_time_minutes,route_id,travel_time_minutes,is_feasible
od_01,motorbike,0.0,0.0,8.230305959783891,8.230305959783891,motorbike-1,8.230305959783891,True
od_01,motorbike,0.0,0.0,8.230305959783891,8.230305959783891,motorbike-2,8.92930841311684,False
od_01,motorbike,0.0,0.0,8.230305959783891,8.230305959783891,motorbike-3,10.483228146866388,False
od_01,motorbike,0.0,0.0,8.230305959783891,8.230305959783891,motorbike-4,11.898209519056042,False
od_01,motorbike,0.0,0.0,8.230305959783891,8.230305959783891,motorbike-5,11.71986992059877,False
od_01,motorbike,0.0,0.0,8.230305959783891,8.230305959783891,motorbike-6,14.376298081885093,False
od_01,motorbike,0.0,0.0,8.230305959783891,8.230305959783891,motorbike-7,12.841022413268671,False
od_01,motorbike,0.0,0.0,8.230305959783891,8.230305959783891,motorbike-8,18.979745074331063,False
od_01,motorbike,1.0,0.12150216588378905,8.230305959783891,9.230305959783891,motorbike-1,8.230305959783891,True
od_01,motorbike,1.0,0.12150216588378905,8.230305959783891,9.230305959783891,motorbike-2,8.92930841311684,True
od_01,motorbike,1.0,0.12150216588378905,8.230305959783891,9.230305959783891,motorbike-3,10.483228146866388,False
od_01,motorbike,1.0,0.12150216588378905,8.230305959783891,9.230305959783891,motorbike-4,11.898209519056042,False
od_01,motorbike,1.0,0.12150216588378905,8.230305959783891,9.230305959783891,motorbike-5,11.71986992059877,False
od_01,motorbike,1.0,0.12150216588378905,8.230305959783891,9.230305959783891,motorbike-6,14.376298081885093,False
od_01,motorbike,1.0,0.12150216588378905,8.230305959783891,9.230305959783891,motorbike-7,12.841022413268671,False
od_01,motorbike,1.0,0.12150216588378905,8.230305959783891,9.230305959783891,motorbike-8,18.979745074331063,False
od_01,motorbike,2.0,0.2430043317675781,8.230305959783891,10.230305959783891,motorbike-1,8.230305959783891,True
od_01,motorbike,2.0,0.2430043317675781,8.230305959783891,10.230305959783891,motorbike-2,8.92930841311684,True
od_01,motorbike,2.0,0.2430043317675781,8.230305959783891,10.230305959783891,motorbike-3,10.483228146866388,False
od_01,motorbike,2.0,0.2430043317675781,8.230305959783891,10.230305959783891,motorbike-4,11.898209519056042,False
od_01,motorbike,2.0,0.2430043317675781,8.230305959783891,10.230305959783891,motorbike-5,11.71986992059877,False
od_01,motorbike,2.0,0.2430043317675781,8.230305959783891,10.230305959783891,motorbike-6,14.376298081885093,False
od_01,motorbike,2.0,0.2430043317675781,8.230305959783891,10.230305959783891,motorbike-7,12.841022413268671,False
od_01,motorbike,2.0,0.2430043317675781,8.230305959783891,10.230305959783891,motorbike-8,18.979745074331063,False
od_01,motorbike,3.0,0.36450649765136717,8.230305959783891,11.230305959783891,motorbike-1,8.230305959783891,True
od_01,motorbike,3.0,0.36450649765136717,8.230305959783891,11.230305959783891,motorbike-2,8.92930841311684,True
od_01,motorbike,3.0,0.36450649765136717,8.230305959783891,11.230305959783891,motorbike-3,10.483228146866388,True
od_01,motorbike,3.0,0.36450649765136717,8.230305959783891,11.230305959783891,motorbike-4,11.898209519056042,False
od_01,motorbike,3.0,0.36450649765136717,8.230305959783891,11.230305959783891,motorbike-5,11.71986992059877,False
od_01,motorbike,3.0,0.36450649765136717,8.230305959783891,11.230305959783891,motorbike-6,14.376298081885093,False
od_01,motorbike,3.0,0.36450649765136717,8.230305959783891,11.230305959783891,motorbike-7,12.841022413268671,False
od_01,motorbike,3.0,0.36450649765136717,8.230305959783891,11.230305959783891,motorbike-8,18.979745074331063,False
od_01,motorbike,5.0,0.6075108294189453,8.230305959783891,13.230305959783891,motorbike-1,8.230305959783891,True
od_01,motorbike,5.0,0.6075108294189453,8.230305959783891,13.230305959783891,motorbike-2,8.92930841311684,True
od_01,motorbike,5.0,0.6075108294189453,8.230305959783891,13.230305959783891,motorbike-3,10.483228146866388,True
od_01,motorbike,5.0,0.6075108294189453,8.230305959783891,13.230305959783891,motorbike-4,11.898209519056042,True
od_01,motorbike,5.0,0.6075108294189453,8.230305959783891,13.230305959783891,motorbike-5,11.71986992059877,True
od_01,motorbike,5.0,0.6075108294189453,8.230305959783891,13.230305959783891,motorbike-6,14.376298081885093,False
od_01,motorbike,5.0,0.6075108294189453,8.230305959783891,13.230305959783891,motorbike-7,12.841022413268671,True
od_01,motorbike,5.0,0.6075108294189453,8.230305959783891,13.230305959783891,motorbike-8,18.979745074331063,False
od_01,motorbike,10.0,1.2150216588378906,8.230305959783891,18.23030595978389,motorbike-1,8.230305959783891,True
od_01,motorbike,10.0,1.2150216588378906,8.230305959783891,18.23030595978389,motorbike-2,8.92930841311684,True
od_01,motorbike,10.0,1.2150216588378906,8.230305959783891,18.23030595978389,motorbike-3,10.483228146866388,True
od_01,motorbike,10.0,1.2150216588378906,8.230305959783891,18.23030595978389,motorbike-4,11.898209519056042,True
od_01,motorbike,10.0,1.2150216588378906,8.230305959783891,18.23030595978389,motorbike-5,11.71986992059877,True
od_01,motorbike,10.0,1.2150216588378906,8.230305959783891,18.23030595978389,motorbike-6,14.376298081885093,True
od_01,motorbike,10.0,1.2150216588378906,8.230305959783891,18.23030595978389,motorbike-7,12.841022413268671,True
od_01,motorbike,10.0,1.2150216588378906,8.230305959783891,18.23030595978389,motorbike-8,18.979745074331063,False
od_01,walking,0.0,0.0,40.00596776846269,40.00596776846269,walking-1,40.00596776846269,True
od_01,walking,0.0,0.0,40.00596776846269,40.00596776846269,walking-2,41.55388342954054,False
od_01,walking,0.0,0.0,40.00596776846269,40.00596776846269,walking-3,46.55078764569807,False
od_01,walking,0.0,0.0,40.00596776846269,40.00596776846269,walking-4,51.48189199853094,False
od_01,walking,0.0,0.0,40.00596776846269,40.00596776846269,walking-5,53.758688039979816,False
od_01,walking,0.0,0.0,40.00596776846269,40.00596776846269,walking-6,47.2862502101711,False
od_01,walking,0.0,0.0,40.00596776846269,40.00596776846269,walking-7,40.01852674613926,False
od_01,walking,0.0,0.0,40.00596776846269,40.00596776846269,walking-8,40.04640202946059,False
od_01,walking,1.0,0.02499627070110063,40.00596776846269,41.00596776846269,walking-1,40.00596776846269,True
od_01,walking,1.0,0.02499627070110063,40.00596776846269,41.00596776846269,walking-2,41.55388342954054,False
od_01,walking,1.0,0.02499627070110063,40.00596776846269,41.00596776846269,walking-3,46.55078764569807,False
od_01,walking,1.0,0.02499627070110063,40.00596776846269,41.00596776846269,walking-4,51.48189199853094,False
od_01,walking,1.0,0.02499627070110063,40.00596776846269,41.00596776846269,walking-5,53.758688039979816,False
od_01,walking,1.0,0.02499627070110063,40.00596776846269,41.00596776846269,walking-6,47.2862502101711,False
