scenario_id,mode,route_a,route_b,edge_jaccard
od_02,motorbike,motorbike-7,motorbike-8,0.03508771929824561
od_03,walking,walking-1,walking-2,0.0
od_03,walking,walking-1,walking-3,0.029605263157894735
od_03,walking,walking-1,walking-4,0.018072289156626505
od_03,walking,walking-1,walking-5,0.014792899408284023
od_03,walking,walking-1,walking-6,0.0
od_03,walking,walking-1,walking-7,0.11403508771929824
od_03,walking,walking-1,walking-8,0.014619883040935672
od_03,walking,walking-2,walking-3,0.0
od_03,walking,walking-2,walking-4,0.0
od_03,walking,walking-2,walking-5,0.03508771929824561
od_03,walking,walking-2,walking-6,0.0456140350877193
od_03,walking,walking-2,walking-7,0.0
od_03,walking,walking-2,walking-8,0.04912280701754386
od_03,walking,walking-3,walking-4,0.010948905109489052
od_03,walking,walking-3,walking-5,0.025454545454545455
od_03,walking,walking-3,walking-6,0.0
od_03,walking,walking-3,walking-7,0.1387900355871886
od_03,walking,walking-3,walking-8,0.144
od_03,walking,walking-4,walking-5,0.0
od_03,walking,walking-4,walking-6,0.0
od_03,walking,walking-4,walking-7,0.008771929824561403
od_03,walking,walking-4,walking-8,0.016339869281045753
od_03,walking,walking-5,walking-6,0.0
od_03,walking,walking-5,walking-7,0.023391812865497075
od_03,walking,walking-5,walking-8,0.07849829351535836
od_03,walking,walking-6,walking-7,0.02023121387283237
od_03,walking,walking-6,walking-8,0.07046979865771812
od_03,walking,walking-7,walking-8,0.07926829268292683
od_03,motorbike,motorbike-1,motorbike-2,0.0
od_03,motorbike,motorbike-1,motorbike-3,0.04745762711864407
od_03,motorbike,motorbike-1,motorbike-4,0.0
od_03,motorbike,motorbike-1,motorbike-5,0.015723270440251572
od_03,motorbike,motorbike-1,motorbike-6,0.0
od_03,motorbike,motorbike-1,motorbike-7,0.007537688442211055
od_03,motorbike,motorbike-1,motorbike-8,0.005221932114882507
od_03,motorbike,motorbike-2,motorbike-3,0.0
od_03,motorbike,motorbike-2,motorbike-4,0.0030120481927710845
od_03,motorbike,motorbike-2,motorbike-5,0.006872852233676976
od_03,motorbike,motorbike-2,motorbike-6,0.042492917847025496
od_03,motorbike,motorbike-2,motorbike-7,0.0392156862745098
od_03,motorbike,motorbike-2,motorbike-8,0.0
od_03,motorbike,motorbike-3,motorbike-4,0.025806451612903226
od_03,motorbike,motorbike-3,motorbike-5,0.03345724907063197
od_03,motorbike,motorbike-3,motorbike-6,0.0
od_03,motorbike,motorbike-3,motorbike-7,0.0
od_03,motorbike,motorbike-3,motorbike-8,0.005917159763313609
od_03,motorbike,motorbike-4,motorbike-5,0.0
od_03,motorbike,motorbike-4,motorbike-6,0.0024630541871921183
od_03,motorbike,motorbike-4,motorbike-7,0.007371007371007371
od_03,motorbike,motorbike-4,motorbike-8,0.00510204081632653
od_03,motorbike,motorbike-5,motorbike-6,0.008241758241758242
od_03,motorbike,motorbike-5,motorbike-7,0.0027100271002710027
od_03,motorbike,motorbike-5,motorbike-8,0.0
od_03,motorbike,motorbike-6,motorbike-7,0.0
od_03,motorbike,motorbike-6,motorbike-8,0.0
od_03,motorbike,motorbike-7,motorbike-8,0.018867924528301886
od_04,walking,walking-1,walking-2,0.03910614525139665
od_04,walking,walking-1,walking-3,0.04481792717086835
od_04,walking,walking-1,walking-4,0.006896551724137931
od_04,walking,walking-1,walking-5,0.2468354430379747
od_04,walking,walking-1,walking-6,0.9693877551020408
od_04,walking,walking-1,walking-7,0.9794871794871794
od_04,walking,walking-1,walking-8,0.9595959595959596
od_04,walking,walking-2,walking-3,0.0345821325648415
od_04,walking,walking-2,walking-4,0.007125890736342043
od_04,walking,walking-2,walking-5,0.04395604395604396
od_04,walking,walking-2,walking-6,0.03910614525139665
od_04,walking,walking-2,walking-7,0.03910614525139665
od_04,walking,walking-2,walking-8,0.05352112676056338
od_04,walking,walking-3,walking-4,0.019184652278177457
od_04,walking,walking-3,walking-5,0.01871657754010695
od_04,walking,walking-3,walking-6,0.04481792717086835
od_04,walking,walking-3,walking-7,0.04481792717086835
od_04,walking,walking-3,walking-8,0.04748603351955307
od_04,walking,walking-4,walking-5,0.006772009029345372
od_04,walking,walking-4,walking-6,0.006896551724137931
od_04,walking,walking-4,walking-7,0.006896551724137931
od_04,walking,walking-4,walking-8,0.006864988558352402
od_04,walking,walking-5,walking-6,0.25878594249201275
od_04,walking,walking-5,walking-7,0.2468354430379747
od_04,walking,walking-5,walking-8,0.2336448598130841
od_04,walking,walking-6,walking-7,0.9494949494949495
od_04,walking,walking-6,walking-8,0.9303482587064676
od_04,walking,walking-7,walking-8,0.94
od_04,motorbike,motorbike-1,motorbike-2,0.04154302670623145
od_04,motorbike,motorbike-1,motorbike-3,0.0196078431372549
od_04,motorbike,motorbike-1,motorbike-4,0.009732360097323601
od_04,motorbike,motorbike-1,motorbike-5,0.007389162561576354
od_04,motorbike,motorbike-1,motorbike-6,0.006593406593406593
od_04,motorbike,motorbike-1,motorbike-7,0.006932409012131715
od_04,motorbike,motorbike-1,motorbike-8,0.005338078291814947
od_04,motorbike,motorbike-2,motorbike-3,0.02203856749311295
od_04,motorbike,motorbike-2,motorbike-4,0.009569377990430622
od_04,motorbike,motorbike-2,motorbike-5,0.007263922518159807
od_04,motorbike,motorbike-2,motorbike-6,0.010869565217391304
od_04,motorbike,motorbike-2,motorbike-7,0.010309278350515464
od_04,motorbike,motorbike-2,motorbike-8,0.005272407732864675
od_04,motorbike,motorbike-3,motorbike-4,0.01873536299765808
od_04,motorbike,motorbike-3,motorbike-5,0.007042253521126761
od_04,motorbike,motorbike-3,motorbike-6,0.00631578947368421
od_04,motorbike,motorbike-3,motorbike-7,0.008389261744966443
od_04,motorbike,motorbike-3,motorbike-8,0.005154639175257732
od_04,motorbike,motorbike-4,motorbike-5,0.010526315789473684
