scenario_id,mode,route_id,total_distance_m,total_travel_time_minutes,segment_count,oracle_exposure_index,predicted_exposure_index,exposure_difference,absolute_exposure_error,percentage_difference,absolute_percentage_error,mean_nearest_station_distance_km,max_nearest_station_distance_km,mean_effective_station_count,moderate_or_weak_segment_fraction,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest
od_01,walking,walking-1,3333.8306473718903,40.00596776846269,111,1280.4043283028204,1038.3449915903266,-242.05933671249386,242.05933671249386,-18.904913968335627,18.904913968335627,2.5257959997211357,3.2378016707352986,4.5450337748900385,0.0,1.0,0.0
od_01,walking,walking-2,3462.8236191283786,41.55388342954054,105,1338.0800561695849,1082.0985558726827,-255.98150029690214,255.98150029690214,-19.130507111037886,19.130507111037886,2.619738140859943,3.2378016707352986,4.618588326122699,0.0,0.014084507042253521,0.9859154929577465
od_01,walking,walking-3,3879.232303808173,46.55078764569807,143,1511.0731188913771,1218.6036607036451,-292.469458187732,292.469458187732,-19.355083121477726,19.355083121477726,2.849892039203532,3.372208908999666,4.720852325765838,0.0,0.01195219123505976,0.9880478087649402
od_01,walking,walking-4,4290.157666544244,51.48189199853094,191,1630.9607156784257,1328.3321712912943,-302.62854438713134,302.62854438713134,-18.555231985538526,18.555231985538526,2.4278517324412716,3.2378016707352986,4.482153242904898,0.0,0.027210884353741496,0.9727891156462585
od_01,walking,walking-5,4479.890669998318,53.758688039979816,215,1734.275710618514,1404.2659709856916,-330.0097396328224,330.0097396328224,-19.028677943896668,19.028677943896668,2.8530339000395015,3.2378016707352986,4.7238020889963686,0.0,0.05844155844155844,0.9415584415584416
od_01,walking,walking-6,3940.520850847591,47.2862502101711,135,1524.6949558703052,1230.1857544700201,-294.50920140028506,294.50920140028506,-19.3159425278073,19.3159425278073,2.5520583471928653,3.2378016707352986,4.577987029394828,0.0,0.28125,0.71875
od_01,walking,walking-7,3334.877228844938,40.01852674613926,111,1280.8036211197395,1038.6694292986172,-242.13419182112239,242.13419182112239,-18.90486471372068,18.90486471372068,2.525904382245326,3.2378016707352986,4.545110866301302,0.0,0.9473684210526315,0.052631578947368474
od_01,walking,walking-8,3337.200169121715,40.04640202946059,114,1281.6627742031692,1039.3879739437734,-242.27480025939576,242.27480025939576,-18.903162761360687,18.903162761360687,2.5313824966052865,3.2378016707352986,4.548776119715087,0.0,0.9565217391304348,0.04347826086956519
od_01,motorbike,motorbike-1,3429.2941499099547,8.230305959783891,119,263.2909483026875,213.6685357961483,-49.622412506539234,49.622412506539234,-18.846987648618953,18.846987648618953,2.4824117636364025,3.2378016707352986,4.52094613665993,0.0,1.0,0.0
od_01,motorbike,motorbike-2,3720.5451721320164,8.92930841311684,139,289.10199771190673,233.6109064012656,-55.49109131064114,55.49109131064114,-19.194295352444644,19.194295352444644,2.8387926939138373,3.372208908999666,4.7129646913501,0.0,0.011764705882352941,0.9882352941176471
od_01,motorbike,motorbike-3,4368.011727860995,10.483228146866388,203,330.71607282130464,269.74956897313945,-60.96650384816519,60.96650384816519,-18.434696362975725,18.434696362975725,2.38723148762283,3.2378016707352986,4.445161770615994,0.0,0.07692307692307693,0.9230769230769231
od_01,motorbike,motorbike-4,4957.587299606684,11.898209519056042,237,395.3942841229935,315.7153377962922,-79.6789463267013,79.6789463267013,-20.151769898098966,20.151769898098966,3.1275190813121143,3.6521862431472334,4.871998401717732,0.0,0.0,1.0
od_01,motorbike,motorbike-5,4883.279133582821,11.71986992059877,218,366.8460023055001,300.26261094086686,-66.58339136463326,66.58339136463326,-18.150229509434393,18.150229509434393,2.223913958546832,3.2378016707352986,4.310324915980226,0.0,0.012012012012012012,0.987987987987988
od_01,motorbike,motorbike-6,5990.124200785455,14.376298081885093,272,456.1842077741073,371.8014296985327,-84.3827780755746,84.3827780755746,-18.497522850979347,18.497522850979347,2.274953171321986,3.2910797152745097,4.3302115296382855,0.0,0.0,1.0
od_01,motorbike,motorbike-7,5350.426005528613,12.841022413268671,207,416.17915680693034,336.40216841414133,-79.77698839278901,79.77698839278901,-19.168905287056063,19.168905287056063,2.9167697876101872,3.6124724114547253,4.6886165742251436,0.0,0.025157232704402517,0.9748427672955975
od_01,motorbike,motorbike-8,7908.227114304611,18.979745074331063,368,594.3354287140576,487.58176840489006,-106.75366030916751,106.75366030916751,-17.96185371956483,17.96185371956483,2.021557934543352,3.342278669479538,4.097698858465443,0.0,0.004123711340206186,0.9958762886597938
od_02,walking,walking-1,4031.1747733479747,48.3740972801757,136,1900.3108917087563,1299.1344780643517,-601.1764136444046,601.1764136444046,-31.635687416590443,31.635687416590443,2.986149069353706,4.1890240681983775,4.564834022120315,0.0,1.0,0.0
od_02,walking,walking-2,4179.665283735303,50.15598340482364,132,1901.6575068211741,1329.9267459436012,-571.730760877573,571.730760877573,-30.06486493108229,30.06486493108229,3.0456441818200775,4.084204059732362,4.684371450011665,0.0,0.03076923076923077,0.9692307692307692
od_02,walking,walking-3,4203.115373844201,50.43738448613041,118,1961.7213392572155,1349.609916512167,-612.1114227450485,612.1114227450485,-31.202771285386426,31.202771285386426,3.281972239954056,4.172850053743609,4.681058266617489,0.0,0.049586776859504134,0.9504132231404958
od_02,walking,walking-4,4798.739244471271,57.58487093365526,200,2219.444365555909,1533.8493668999654,-685.5949986559435,685.5949986559435,-30.890389022399354,30.890389022399354,3.105707884091125,3.897311851805605,4.658034762548126,0.0,0.009009009009009009,0.990990990990991
od_02,walking,walking-5,4768.99194159527,57.227903299143236,156,2237.6701540965123,1534.814192700601,-702.8559613959112,702.8559613959112,-31.41016829979118,31.41016829979118,3.0023620882673927,4.0800034282345985,4.551713998685379,0.0,0.03914590747330961,0.9608540925266904
od_02,walking,walking-6,4882.431836484403,58.58918203781283,186,2330.529904218636,1581.95342875096,-748.5764754676761,748.5764754676761,-32.12044068229425,32.12044068229425,2.716444872300799,4.1890240681983775,4.379715795597631,0.0,0.03205128205128205,0.967948717948718
od_02,walking,walking-7,5247.3019072373745,62.9676228868485,143,2449.2484465196185,1693.3199328456813,-755.9285136739372,755.9285136739372,-30.863692686959197,30.863692686959197,3.022400509173806,4.1890240681983775,4.586970122682268,0.0,0.08560311284046693,0.914396887159533
od_02,walking,walking-8,4032.874831255277,48.39449797506333,134,1902.9596234434036,1300.2477173543784,-602.7119060890252,602.7119060890252,-31.672343367875488,31.672343367875488,2.9560732446053737,4.1890240681983775,4.550610666841907,0.0,0.656441717791411,0.34355828220858897
od_02,motorbike,motorbike-1,4031.1747733479747,9.67481945603514,136,380.0621783417512,259.8268956128702,-120.23528272888097,120.23528272888097,-31.63568741659046,31.63568741659046,2.986149069353706,4.1890240681983775,4.564834022120315,0.0,1.0,0.0
od_02,motorbike,motorbike-2,4179.665283735303,10.031196680964728,132,380.3315013642348,265.98534918872014,-114.34615217551465,114.34615217551465,-30.064864931082308,30.064864931082308,3.0456441818200775,4.084204059732362,4.684371450011665,0.0,0.03076923076923077,0.9692307692307692
od_02,motorbike,motorbike-3,4206.177077687737,10.094824986450568,116,392.62354965045955,270.11587051941615,-122.5076791310434,122.5076791310434,-31.202325800402996,31.202325800402996,3.275598172862786,4.172850053743609,4.678275480927286,0.0,0.05,0.95
od_02,motorbike,motorbike-4,4662.852950896125,11.190847082150698,153,427.5111930297252,297.08905132263067,-130.4221417070945,130.4221417070945,-30.507304565011975,30.507304565011975,3.1541234543269026,3.897311851805605,4.7202226044344275,0.0,0.01048951048951049,0.9895104895104895
od_02,motorbike,motorbike-5,4794.898408301863,11.507756179924469,170,450.2329137254176,308.7270024947866,-141.505911230631,141.505911230631,-31.42949058516207,31.42949058516207,2.926356097495667,4.0800034282345985,4.507731914243703,0.0,0.03728813559322034,0.9627118644067797
od_02,motorbike,motorbike-6,5404.728891443751,12.971349339465004,211,499.77027077857946,344.7464911652303,-155.02377961334918,155.02377961334918,-31.019007867723214,31.019007867723214,3.104096900240729,3.897311851805605,4.662162126025645,0.0,0.00872093023255814,0.9912790697674418
od_02,motorbike,motorbike-7,5018.097801026264,12.043434722463035,172,483.53812020912,326.3656759677072,-157.1724442414128,157.1724442414128,-32.504664611228385,32.504664611228385,2.6618781975452577,4.1890240681983775,4.283074431242846,0.0,0.03355704697986577,0.9664429530201343
od_02,motorbike,motorbike-8,6275.567685737707,15.061362445770495,241,569.7386744129105,397.79540287302757,-171.94327153988297,171.94327153988297,-30.17932242656032,30.17932242656032,2.796709188768691,3.897311851805605,4.560401760533779,0.0,0.005333333333333333,0.9946666666666667
od_03,walking,walking-1,2868.5704745351272,34.422845694421525,187,1211.7332515188175,893.4653089473137,-318.2679425715038,318.2679425715038,-26.26551199883131,26.26551199883131,1.7928781026709568,2.582264999051276,3.8585226497189713,0.0,1.0,0.0
od_03,walking,walking-2,2948.8516364489606,35.386219637387526,139,1268.1773322798263,913.9498344432309,-354.2274978365954,354.2274978365954,-27.93201619522673,27.93201619522673,2.2449293275008286,2.6563854034862326,4.298441852611738,0.0,0.0,1.0
od_03,walking,walking-3,3018.080756930005,36.216969083160066,126,1286.6044594981192,937.5234852654203,-349.08097423269896,349.08097423269896,-27.13195742915962,27.13195742915962,1.9997281880938116,2.582264999051276,4.092272413548998,0.0,0.029605263157894735,0.9703947368421053
od_03,walking,walking-4,3502.8060662306657,42.03367279476799,151,1474.5329804597225,1092.8567626494976,-381.6762178102249,381.6762178102249,-25.884549404329217,25.884549404329217,1.6302306431124325,2.619173952723309,3.649410254003404,0.2251655629139073,0.018072289156626505,0.9819277108433735
