model,held_out_station,nearest_distance_km,second_nearest_distance_km,contributing_stations,maximum_weight,weight_concentration,effective_station_count
idw_p1,1,10.480570760870307,15.745847291736471,5,0.3120702128690344,0.2185411040119547,4.5757982440927805
idw_p1,2,6.377327469673882,8.374157597917447,5,0.31017049007785025,0.23142574464060678,4.321040433738055
idw_p1,3,5.8293036110696415,8.374157597917447,5,0.31104872119705756,0.225601206833257,4.432600401553282
idw_p1,4,5.453227609948002,7.454146220457832,5,0.3161709892530915,0.22270506098010756,4.490243713362768
idw_p1,5,3.1303953249201215,5.453227609948002,5,0.4002532085868244,0.26149549498655256,3.824157659203365
idw_p1,6,3.1303953249201215,5.8293036110696415,5,0.38132475987581493,0.25245489241194186,3.961103666663174
idw_p2,1,10.480570760870307,15.745847291736471,5,0.44562700550280515,0.28241731524099767,3.540859380901136
idw_p2,2,6.377327469673882,8.374157597917447,5,0.41570886188369727,0.29042164558082445,3.4432695193915897
idw_p2,3,5.8293036110696415,8.374157597917447,5,0.4288598820742756,0.2842293936832147,3.5182849565324723
idw_p2,4,5.453227609948002,7.454146220457832,5,0.44886314664491384,0.29306007260177175,3.4122696794621428
idw_p2,5,3.1303953249201215,5.453227609948002,5,0.6126401183021772,0.42967440526831974,2.327343653098275
idw_p2,6,3.1303953249201215,5.8293036110696415,5,0.5759784296716194,0.38922738121472616,2.5691923237238212
nearest,1,10.480570760870307,15.745847291736471,1,1.0,1.0,1.0
nearest,2,6.377327469673882,8.374157597917447,1,1.0,1.0,1.0
nearest,3,5.8293036110696415,8.374157597917447,1,1.0,1.0,1.0
nearest,4,5.453227609948002,7.454146220457832,1,1.0,1.0,1.0
nearest,5,3.1303953249201215,5.453227609948002,1,1.0,1.0,1.0
nearest,6,3.1303953249201215,5.8293036110696415,1,1.0,1.0,1.0
