station_a,station_b,distance_km
1,2,24.236449211870987
1,3,20.086383833769926
1,4,10.480570760870307
1,5,15.745847291736471
1,6,17.92796311979206
2,3,8.374157597917447
2,4,13.760221685319266
2,5,8.666094173597243
2,6,6.377327469673882
3,4,10.595905192693383
3,5,8.591892201866369
3,6,5.8293036110696415
4,5,5.453227609948002
4,6,7.454146220457832
5,6,3.1303953249201215
