model,split,evaluation_label,Station_No,horizon_hours,n,mae,rmse,r2,persistence_mae,persistence_rmse,persistence_r2,mae_delta_vs_persistence,mae_percent_vs_persistence,rmse_delta_vs_persistence,rmse_percent_vs_persistence,r2_delta_vs_persistence,beats_persistence_mae
B_xgboost_v1_no_current,validation,development_validation_exploratory,ALL,1,8603,4.698592482790346,8.088266572301793,0.5384488038572175,3.038068292731256,7.0252799659720475,0.651794007839027,1.66052419005909,54.65723710135103,1.062986606329745,15.13087893263291,-0.11334520398180947,False
B_xgboost_v1_no_current,validation,development_validation_exploratory,ALL,2,8580,5.67684619827766,9.007633610798127,0.4256868820441705,4.639194096851282,9.453301365175692,0.3674507910767624,1.037652101426378,22.367076689691732,-0.4456677543775651,-4.714413908556085,0.058236090967408116,False
B_xgboost_v1_no_current,validation,development_validation_exploratory,ALL,3,8561,6.359879245158214,9.646136716258443,0.34079326037599633,5.789335523416541,10.787420298705811,0.17557716395586853,0.5705437217416733,9.85508128582208,-1.1412835824473682,-10.579763751156431,0.1652160964201278,False
C_xgboost_current_pm,validation,development_validation_exploratory,ALL,1,8603,3.2098168815765993,6.521943446148245,0.6999020522543873,3.038068292731256,7.0252799659720475,0.651794007839027,0.17174858884534316,5.653216856785643,-0.5033365198238027,-7.1646471352285666,0.04810804441536032,False
C_xgboost_current_pm,validation,development_validation_exploratory,ALL,2,8580,4.732838235480537,8.11912672523415,0.5333986932791428,4.639194096851282,9.453301365175692,0.3674507910767624,0.09364413862925502,2.018543235619593,-1.3341746399415424,-14.11331965842545,0.16594790220238043,False
C_xgboost_current_pm,validation,development_validation_exploratory,ALL,3,8561,5.8632358197479375,9.250593121084018,0.39374690099310494,5.789335523416541,10.787420298705811,0.17557716395586853,0.07390029633139683,1.2764901262413797,-1.5368271776217934,-14.246475385835941,0.2181697370372364,False
