route_id,mode,edge_count,total_distance_m,total_travel_time_seconds,origin_snap_distance_m,destination_snap_distance_m
walking-1,walking,126,3696.1456333463384,2661.2248560093635,21.26229947786654,86.68914168781716
walking-2,walking,125,3696.4619553718426,2661.452607867727,21.26229947786654,86.68914168781716
walking-3,walking,125,3697.445807074622,2662.160981093728,21.26229947786654,86.68914168781716
walking-4,walking,124,3697.7621291001265,2662.3887329520912,21.26229947786654,86.68914168781716
walking-5,walking,125,3699.2120206470386,2663.432654865868,21.26229947786654,86.68914168781716
motorbike-1,motorbike,141,3705.5546831426345,533.5998743725394,21.26229947786654,86.68914168781716
motorbike-2,motorbike,133,3705.838887778409,533.640799840091,21.26229947786654,86.68914168781716
motorbike-3,motorbike,138,3708.749142365849,534.0598765006822,21.26229947786654,86.68914168781716
motorbike-4,motorbike,130,3709.033347001624,534.1008019682338,21.26229947786654,86.68914168781716
motorbike-5,motorbike,140,3709.2788529655027,534.1361548270323,21.26229947786654,86.68914168781716
