model,held_out_station,n,unique_timestamps,mae,rmse,r2
nearest,1,4228,4228,10.261527069014427,19.68691295574071,-2.101089537359184
nearest,2,4228,4228,3.8116108761071428,6.963925624342721,0.6928203267297932
nearest,3,4228,4228,8.44298412163316,15.933896838424747,0.4029938625370034
nearest,4,4228,4228,15.18398833653335,23.50432486459667,-0.31225170451074
nearest,5,4228,4228,7.261198998071902,9.794939938950051,-0.3352757273296294
nearest,6,4228,4228,7.261198998071902,9.794939938950051,0.21104618788478946
idw_p1,1,4228,4228,6.771411896914921,10.40404696501,0.13390870909061103
idw_p1,2,4228,4228,4.112112958947969,6.993435206955389,0.6902114677822498
idw_p1,3,4228,4228,8.505048971083264,15.829731082359972,0.41077404646772475
idw_p1,4,4228,4228,9.725775696895166,18.989125967219962,0.14349178192602086
idw_p1,5,4228,4228,9.956365590867401,13.039527670533458,-1.3664161489636526
idw_p1,6,4228,4228,3.293152324988916,5.70625455644215,0.7322371587749441
idw_p2,1,4228,4228,7.017390032800614,11.536970143979252,-0.06498281784305093
idw_p2,2,4228,4228,3.9081428956569746,6.731038349066114,0.7130221645239789
idw_p2,3,4228,4228,8.499785389708174,15.867420372533525,0.4079649090349494
idw_p2,4,4228,4228,10.711194736371796,19.749682058776532,0.07350772960309526
idw_p2,5,4228,4228,9.32890333968459,12.093738049943257,-1.0355815925603
idw_p2,6,4228,4228,3.5766172970735632,5.624263135147035,0.7398766808895256
