model,split,evaluation_label,Station_No,horizon_hours,n,mae,rmse,r2,v1_mae,v1_rmse,v1_r2,mae_delta_vs_v1,rmse_delta_vs_v1,r2_delta_vs_v1,mae_percent_vs_v1
C_xgboost_current_pm,validation,development_validation_exploratory,ALL,1,8603,3.2098168815765993,6.521943446148245,0.6999020522543873,4.698592482790346,8.088266572301793,0.5384488038572175,-1.4887756012137467,-1.5663231261535477,0.1614532483971698,-31.685565553231587
C_xgboost_current_pm,validation,development_validation_exploratory,ALL,2,8580,4.732838235480537,8.11912672523415,0.5333986932791428,5.67684619827766,9.007633610798127,0.4256868820441705,-0.944007962797123,-0.8885068855639773,0.10771181123497231,-16.62909174963261
C_xgboost_current_pm,validation,development_validation_exploratory,ALL,3,8561,5.8632358197479375,9.250593121084018,0.39374690099310494,6.359879245158214,9.646136716258443,0.34079326037599633,-0.4966434254102765,-0.3955435951744253,0.05295364061710861,-7.809007156674743
