mode,routes,mae_exposure_index,rmse_exposure_index,mean_absolute_percentage_error,max_absolute_percentage_error
motorbike,10,133.4032545020503,163.98417583185477,24.2594617350267,33.61831036146395
walking,10,564.8873340180287,676.18669667333,22.802979422507505,30.56230840855773
