scenario_id,mode,route_id,total_distance_m,total_travel_time_minutes,segment_count,oracle_exposure_index,predicted_exposure_index,exposure_difference,absolute_exposure_error,percentage_difference,absolute_percentage_error,mean_nearest_station_distance_km,max_nearest_station_distance_km,mean_effective_station_count,moderate_or_weak_segment_fraction
s6_to_s5,walking,walking-1,3882.4035770231826,46.58884292427819,121,1283.4821369651036,1090.5502306876583,-192.93190627744525,192.93190627744525,-15.031912071144847,15.031912071144847,0.9554796590574349,1.603023754460425,2.807516449492112,0.06611570247933884
s6_to_s5,walking,walking-2,3882.719899048687,46.592638788584246,120,1283.572005867536,1090.633077260534,-192.93892860700203,192.93892860700203,-15.031406709170097,15.031406709170097,0.9540986709256105,1.603023754460425,2.8043899528887954,0.06666666666666667
s6_to_s5,walking,walking-3,3883.703750751466,46.604445009017596,120,1283.9114459246732,1090.914320509546,-192.99712541512713,192.99712541512713,-15.031965485449081,15.031965485449081,0.9528623271496469,1.603023754460425,2.80269418658916,0.06666666666666667
s6_to_s5,walking,walking-4,3884.0200727769707,46.60824087332365,119,1284.0013148271057,1090.9971670824218,-193.0041477446839,193.0041477446839,-15.031460288704801,15.031460288704801,0.9514477396897584,1.603023754460425,2.7995008936874695,0.06722689075630252
s6_to_s5,walking,walking-5,3884.209831657187,46.61051797988625,121,1286.7487868079083,1092.4805352147384,-194.2682515931699,194.2682515931699,-15.097605187963635,15.097605187963635,0.9571430328662323,1.603023754460425,2.810534290603078,0.06611570247933884
s6_to_s5,motorbike,motorbike-1,3869.319300486133,9.28636632116672,133,254.41340059617195,216.59773407629527,-37.815666519876686,37.815666519876686,-14.863865830676563,14.863865830676563,0.8994380799607754,1.603023754460425,2.702116974157834,0.022556390977443608
s6_to_s5,motorbike,motorbike-2,3872.5137597093476,9.294033023302434,130,254.66426020247815,216.80121244233973,-37.863047760138414,37.863047760138414,-14.867829404108104,14.867829404108104,0.9147584580329484,1.603023754460425,2.732124240657684,0.023076923076923078
s6_to_s5,motorbike,motorbike-3,3877.1459536161656,9.305150288678796,129,255.0090098095026,217.07425917404962,-37.934750635452986,37.934750635452986,-14.875847196062244,14.875847196062244,0.9007576660090223,1.603023754460425,2.701223915134368,0.023255813953488372
s6_to_s5,motorbike,motorbike-4,3880.34041283938,9.312816990814513,126,255.2598694158088,217.27773754009408,-37.982131875714714,37.982131875714714,-14.87978974628528,14.87978974628528,0.9165958240052705,1.603023754460425,2.732162529959051,0.023809523809523808
s6_to_s5,motorbike,motorbike-5,3883.703750751466,9.320889001803518,120,256.7822891849344,218.1828641019093,-38.599425083025125,38.599425083025125,-15.031965485448978,15.031965485448978,0.9528623271496469,1.603023754460425,2.80269418658916,0.06666666666666667
s2_to_s6,walking,walking-1,6947.639599849236,83.37167519819083,282,3063.996477799815,2127.5893657444562,-936.4071120553585,936.4071120553585,-30.561624950945472,30.561624950945472,1.724224839230595,3.182692187130468,3.3879260922023073,0.0851063829787234
s2_to_s6,walking,walking-2,6948.35293580511,83.38023522966132,282,3064.236492981468,2127.8121586114576,-936.4243343700105,936.4243343700105,-30.55979316592761,30.55979316592761,1.7241106811294207,3.182692187130468,3.387731183814012,0.0851063829787234
s2_to_s6,walking,walking-3,6948.925145932666,83.38710175119199,283,3064.597267952858,2127.9855994408713,-936.6116685119869,936.6116685119869,-30.56230840855773,30.56230840855773,1.7291258254870525,3.182692187130468,3.392160546955571,0.08480565371024736
s2_to_s6,walking,walking-4,6949.638481888541,83.39566178266249,283,3064.8372831345114,2128.2083923078726,-936.6288908266388,936.6288908266388,-30.560476929095472,30.560476929095472,1.7290120707713954,3.182692187130468,3.391966327289496,0.08480565371024736
s2_to_s6,walking,walking-5,6949.644794159256,83.39573752991106,281,3064.865637874905,2128.2046630960417,-936.6609747788634,936.6609747788634,-30.56124102811629,30.56124102811629,1.7212496959708088,3.182692187130468,3.3839713203545374,0.08540925266903915
s2_to_s6,motorbike,motorbike-1,7373.173092369386,17.695615421686526,276,680.4476757406821,451.72139760644643,-228.7262781342357,228.7262781342357,-33.614087649761196,33.614087649761196,1.7931157081253277,3.182692187130468,3.487956838059735,0.12681159420289856
s2_to_s6,motorbike,motorbike-2,7374.374191440823,17.69849805945797,275,680.5830845741765,451.78931371121087,-228.79377086296563,228.79377086296563,-33.617316687515974,33.617316687515974,1.7946141811100458,3.182692187130468,3.490340131938773,0.12363636363636364
s2_to_s6,motorbike,motorbike-3,7374.3930631762905,17.698543351623094,273,680.5399824175437,451.80068947146094,-228.73929294608274,228.73929294608274,-33.6114407464366,33.6114407464366,1.810239823940053,3.182692187130468,3.5125059900359386,0.1282051282051282
s2_to_s6,motorbike,motorbike-4,7374.458638452817,17.698700732286756,277,680.5678337712907,451.8006443457294,-228.7671894255613,228.7671894255613,-33.614164242508124,33.614164242508124,1.797874149431042,3.182692187130468,3.4919218920283854,0.1263537906137184
s2_to_s6,motorbike,motorbike-5,7374.599439353822,17.699038654449172,276,680.6141930313399,451.80320125389073,-228.8109917774492,228.8109917774492,-33.61831036146395,33.61831036146395,1.7926308159189888,3.182692187130468,3.487320500539393,0.12681159420289856
