scenario_id,route_id,mode,pipeline_mode,segment_index,segment_id,eta,mapped_target_time,mapping_method,forecast_horizon_hours,latitude,longitude,segment_duration_minutes,pm25_estimate,exposure_contribution,contribution_fraction,nearest_station_distance_km,second_nearest_station_distance_km,contributing_station_count,maximum_idw_weight,effective_station_count,reliability_status
s2_to_s6,motorbike-1,motorbike,oracle_exposure,24,32578536:1:r,2022-02-28T06:01:37.625669963,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.74727965,106.620165,0.28953459253791264,45.19309354603944,13.084963925380299,0.01922993404472582,0.7758125673318681,5.6608967453404215,6,0.700916633635365,1.9517865831407608,supported
s2_to_s6,motorbike-1,motorbike,oracle_exposure,274,680569918:6:f,2022-02-28T06:17:17.587859760,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.7801838,106.6584301,0.36819407241328234,33.28174968287311,12.254142952776519,0.018008942332615976,0.11674219152351317,3.2371556583288035,6,0.9117401403467864,1.2001747454759668,supported
s2_to_s6,motorbike-1,motorbike,oracle_exposure,22,32578536:3:r,2022-02-28T06:01:17.125852275,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.7460009,106.62022685,0.2385454680449676,45.818853096227706,10.92987975712325,0.016062777707669937,0.6535516262248425,5.749581134643254,6,0.7378874696246114,1.7837473485749953,supported
s2_to_s6,motorbike-1,motorbike,oracle_exposure,269,680569918:1:f,2022-02-28T06:16:37.174453593,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.77831525,106.656703,0.31213139436143794,33.36209942040852,10.413358610917031,0.01530368753127397,0.38477310431000394,3.4047736302723672,6,0.7611361583789097,1.6854045162543247,supported
s2_to_s6,motorbike-1,motorbike,oracle_exposure,17,235097264:4:r,2022-02-28T06:00:47.769670449,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.74479465,106.61911515,0.21984515255388334,46.85614358661108,10.301096034885177,0.015138704123975747,0.4771919344590909,5.929553861374707,6,0.7974546193571816,1.5491196169894108,supported
s2_to_s6,motorbike-1,motorbike,predicted_exposure,274,680569918:6:f,2022-02-28T06:17:17.587859760,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.7801838,106.6584301,0.36819407241328234,26.63268424580108,9.805996471758567,0.02170806280977164,0.11674219152351317,3.2371556583288035,6,0.9117401403467864,1.2001747454759668,supported
s2_to_s6,motorbike-1,motorbike,predicted_exposure,269,680569918:1:f,2022-02-28T06:16:37.174453593,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.77831525,106.656703,0.31213139436143794,26.331580939993042,8.21891307454109,0.0181946507694587,0.38477310431000394,3.4047736302723672,6,0.7611361583789097,1.6854045162543247,supported
s2_to_s6,motorbike-1,motorbike,predicted_exposure,266,408212916:13:f,2022-02-28T06:16:14.578109401,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.77712375,106.65632825,0.28105554934502197,26.221404929962457,7.369671367188865,0.0163146386384148,0.505423329359402,3.4398423668420013,6,0.709023164148208,1.9104002276763092,supported
s2_to_s6,motorbike-1,motorbike,predicted_exposure,24,32578536:1:r,2022-02-28T06:01:37.625669963,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.74727965,106.620165,0.28953459253791264,24.70868407940527,7.154018777078614,0.015837236878717475,0.7758125673318681,5.6608967453404215,6,0.700916633635365,1.9517865831407608,supported
s2_to_s6,motorbike-1,motorbike,predicted_exposure,263,32584525:0:r,2022-02-28T06:15:56.403114711,2022-02-28T07:00:00,ceiling_to_next_hour_no_interpolation,2,10.7761674,106.65606450000001,0.2439525524967189,26.14025581405746,6.376982128756515,0.014117068977795773,0.6053634629117658,3.4676969657613146,6,0.6712268770899593,2.09650657419891,supported
