forecaster,mode,departure_time,routes,mean_airpath_exposure,mean_oracle_exposure,mean_static_exposure,mean_abs_pct_airpath_vs_static
C_xgboost_current_pm,motorbike,2022-02-27T06:00:00,240,375.1592571868007,447.04547668209125,388.82246708172966,3.5956245835671985
C_xgboost_current_pm,motorbike,2022-02-27T08:00:00,240,402.1373560109621,276.6376384542203,392.173708965653,3.9013116594475696
C_xgboost_current_pm,motorbike,2022-02-27T12:00:00,240,228.14425835387433,161.67909590571682,194.7206157261521,17.206794392659585
C_xgboost_current_pm,motorbike,2022-02-27T17:00:00,240,209.4426729389524,230.18165659339132,199.7657088453876,4.71948929448725
C_xgboost_current_pm,motorbike,2022-02-27T20:00:00,240,211.8539311865062,215.64062962151598,213.19158903872483,0.8368314259303614
C_xgboost_current_pm,walking,2022-02-27T06:00:00,240,1467.6267378370956,1738.0613865892278,1525.506375943197,4.000241569919534
C_xgboost_current_pm,walking,2022-02-27T08:00:00,240,1570.4164502167405,1079.5776392665182,1537.3659959433332,3.8361434884775396
C_xgboost_current_pm,walking,2022-02-27T12:00:00,240,890.7889499087024,632.7162592428355,763.0833267140412,16.920526505870082
C_xgboost_current_pm,walking,2022-02-27T17:00:00,240,820.419460644898,898.5270729124479,783.0244313876368,4.699380258828355
C_xgboost_current_pm,walking,2022-02-27T20:00:00,240,827.3731258782765,844.6466332054367,835.3960325184809,1.0781239027634313
