perturbation_scale,departure_time,scenario_id,mode,delta_time_allowed_minutes,route_id,rank,route_type,travel_time_minutes,predicted_exposure_index,oracle_exposure_index,available_feasible_alternatives,fewer_than_requested_alternatives
0.8,2022-02-27T06:00:00,od_02,motorbike,2.0,motorbike-3,2,AIRPATH alternative,10.094824986450568,227.2561942050064,345.17215260707724,4,False
0.8,2022-02-27T06:00:00,od_02,motorbike,2.0,motorbike-4,3,AIRPATH alternative,11.190847082150698,246.49290369316645,372.3580026610861,4,False
0.8,2022-02-27T06:00:00,od_02,motorbike,3.0,motorbike-1,0,fastest,9.67481945603514,220.02906324812744,335.0805859611023,5,False
0.8,2022-02-27T06:00:00,od_02,motorbike,3.0,motorbike-2,1,AIRPATH alternative,10.031196680964728,219.89921632675885,332.1004748499557,5,False
0.8,2022-02-27T06:00:00,od_02,motorbike,3.0,motorbike-3,2,AIRPATH alternative,10.094824986450568,227.2561942050064,345.17215260707724,5,False
0.8,2022-02-27T06:00:00,od_02,motorbike,3.0,motorbike-4,3,AIRPATH alternative,11.190847082150698,246.49290369316645,372.3580026610861,5,False
0.8,2022-02-27T06:00:00,od_02,motorbike,5.0,motorbike-1,0,fastest,9.67481945603514,220.02906324812744,335.0805859611023,6,False
0.8,2022-02-27T06:00:00,od_02,motorbike,5.0,motorbike-2,1,AIRPATH alternative,10.031196680964728,219.89921632675885,332.1004748499557,6,False
0.8,2022-02-27T06:00:00,od_02,motorbike,5.0,motorbike-3,2,AIRPATH alternative,10.094824986450568,227.2561942050064,345.17215260707724,6,False
0.8,2022-02-27T06:00:00,od_02,motorbike,5.0,motorbike-4,3,AIRPATH alternative,11.190847082150698,246.49290369316645,372.3580026610861,6,False
0.8,2022-02-27T06:00:00,od_02,motorbike,10.0,motorbike-1,0,fastest,9.67481945603514,220.02906324812744,335.0805859611023,7,False
0.8,2022-02-27T06:00:00,od_02,motorbike,10.0,motorbike-2,1,AIRPATH alternative,10.031196680964728,219.89921632675885,332.1004748499557,7,False
0.8,2022-02-27T06:00:00,od_02,motorbike,10.0,motorbike-3,2,AIRPATH alternative,10.094824986450568,227.2561942050064,345.17215260707724,7,False
0.8,2022-02-27T06:00:00,od_02,motorbike,10.0,motorbike-4,3,AIRPATH alternative,11.190847082150698,246.49290369316645,372.3580026610861,7,False
0.8,2022-02-27T06:00:00,od_02,walking,0.0,walking-1,0,fastest,48.3740972801757,1100.1453162406376,1675.402929805511,0,True
0.8,2022-02-27T06:00:00,od_02,walking,1.0,walking-1,0,fastest,48.3740972801757,1100.1453162406376,1675.402929805511,1,True
0.8,2022-02-27T06:00:00,od_02,walking,1.0,walking-8,1,AIRPATH alternative,48.39449797506333,1101.8742304593059,1678.6008116658654,1,True
0.8,2022-02-27T06:00:00,od_02,walking,2.0,walking-1,0,fastest,48.3740972801757,1100.1453162406376,1675.402929805511,2,True
0.8,2022-02-27T06:00:00,od_02,walking,2.0,walking-2,1,AIRPATH alternative,50.15598340482364,1099.4960816337941,1660.5023742497783,2,True
0.8,2022-02-27T06:00:00,od_02,walking,2.0,walking-8,2,AIRPATH alternative,48.39449797506333,1101.8742304593059,1678.6008116658654,2,True
0.8,2022-02-27T06:00:00,od_02,walking,3.0,walking-1,0,fastest,48.3740972801757,1100.1453162406376,1675.402929805511,3,False
0.8,2022-02-27T06:00:00,od_02,walking,3.0,walking-2,1,AIRPATH alternative,50.15598340482364,1099.4960816337941,1660.5023742497783,3,False
0.8,2022-02-27T06:00:00,od_02,walking,3.0,walking-8,2,AIRPATH alternative,48.39449797506333,1101.8742304593059,1678.6008116658654,3,False
0.8,2022-02-27T06:00:00,od_02,walking,3.0,walking-3,3,AIRPATH alternative,50.43738448613041,1135.4827050168358,1724.664041879906,3,False
0.8,2022-02-27T06:00:00,od_02,walking,5.0,walking-1,0,fastest,48.3740972801757,1100.1453162406376,1675.402929805511,3,False
0.8,2022-02-27T06:00:00,od_02,walking,5.0,walking-2,1,AIRPATH alternative,50.15598340482364,1099.4960816337941,1660.5023742497783,3,False
0.8,2022-02-27T06:00:00,od_02,walking,5.0,walking-8,2,AIRPATH alternative,48.39449797506333,1101.8742304593059,1678.6008116658654,3,False
0.8,2022-02-27T06:00:00,od_02,walking,5.0,walking-3,3,AIRPATH alternative,50.43738448613041,1135.4827050168358,1724.664041879906,3,False
0.8,2022-02-27T06:00:00,od_02,walking,10.0,walking-1,0,fastest,48.3740972801757,1100.1453162406376,1675.402929805511,5,False
0.8,2022-02-27T06:00:00,od_02,walking,10.0,walking-2,1,AIRPATH alternative,50.15598340482364,1099.4960816337941,1660.5023742497783,5,False
0.8,2022-02-27T06:00:00,od_02,walking,10.0,walking-8,2,AIRPATH alternative,48.39449797506333,1101.8742304593059,1678.6008116658654,5,False
0.8,2022-02-27T06:00:00,od_02,walking,10.0,walking-3,3,AIRPATH alternative,50.43738448613041,1135.4827050168358,1724.664041879906,5,False
0.8,2022-02-27T06:00:00,od_03,motorbike,0.0,motorbike-1,0,fastest,6.910009956562447,141.2291259968886,212.1590349781832,0,True
0.8,2022-02-27T06:00:00,od_03,motorbike,1.0,motorbike-1,0,fastest,6.910009956562447,141.2291259968886,212.1590349781832,2,True
0.8,2022-02-27T06:00:00,od_03,motorbike,1.0,motorbike-2,1,AIRPATH alternative,7.116120642313948,146.08190186160675,217.39218441187612,2,True
0.8,2022-02-27T06:00:00,od_03,motorbike,1.0,motorbike-3,2,AIRPATH alternative,7.291127544071104,149.4989409281985,223.40753736584384,2,True
0.8,2022-02-27T06:00:00,od_03,motorbike,2.0,motorbike-1,0,fastest,6.910009956562447,141.2291259968886,212.1590349781832,2,True
0.8,2022-02-27T06:00:00,od_03,motorbike,2.0,motorbike-2,1,AIRPATH alternative,7.116120642313948,146.08190186160675,217.39218441187612,2,True
0.8,2022-02-27T06:00:00,od_03,motorbike,2.0,motorbike-3,2,AIRPATH alternative,7.291127544071104,149.4989409281985,223.40753736584384,2,True
0.8,2022-02-27T06:00:00,od_03,motorbike,3.0,motorbike-1,0,fastest,6.910009956562447,141.2291259968886,212.1590349781832,4,False
0.8,2022-02-27T06:00:00,od_03,motorbike,3.0,motorbike-2,1,AIRPATH alternative,7.116120642313948,146.08190186160675,217.39218441187612,4,False
0.8,2022-02-27T06:00:00,od_03,motorbike,3.0,motorbike-3,2,AIRPATH alternative,7.291127544071104,149.4989409281985,223.40753736584384,4,False
0.8,2022-02-27T06:00:00,od_03,motorbike,3.0,motorbike-5,3,AIRPATH alternative,8.934479371762848,182.96686642198824,272.91862169173925,4,False
0.8,2022-02-27T06:00:00,od_03,motorbike,5.0,motorbike-1,0,fastest,6.910009956562447,141.2291259968886,212.1590349781832,6,False
0.8,2022-02-27T06:00:00,od_03,motorbike,5.0,motorbike-2,1,AIRPATH alternative,7.116120642313948,146.08190186160675,217.39218441187612,6,False
0.8,2022-02-27T06:00:00,od_03,motorbike,5.0,motorbike-3,2,AIRPATH alternative,7.291127544071104,149.4989409281985,223.40753736584384,6,False
0.8,2022-02-27T06:00:00,od_03,motorbike,5.0,motorbike-5,3,AIRPATH alternative,8.934479371762848,182.96686642198824,272.91862169173925,6,False
0.8,2022-02-27T06:00:00,od_03,motorbike,10.0,motorbike-1,0,fastest,6.910009956562447,141.2291259968886,212.1590349781832,7,False
0.8,2022-02-27T06:00:00,od_03,motorbike,10.0,motorbike-2,1,AIRPATH alternative,7.116120642313948,146.08190186160675,217.39218441187612,7,False
0.8,2022-02-27T06:00:00,od_03,motorbike,10.0,motorbike-3,2,AIRPATH alternative,7.291127544071104,149.4989409281985,223.40753736584384,7,False
0.8,2022-02-27T06:00:00,od_03,motorbike,10.0,motorbike-5,3,AIRPATH alternative,8.934479371762848,182.96686642198824,272.91862169173925,7,False
0.8,2022-02-27T06:00:00,od_03,walking,0.0,walking-1,0,fastest,34.422845694421525,703.6499556064043,1057.0217973896242,0,True
0.8,2022-02-27T06:00:00,od_03,walking,1.0,walking-1,0,fastest,34.422845694421525,703.6499556064043,1057.0217973896242,1,True
0.8,2022-02-27T06:00:00,od_03,walking,1.0,walking-2,1,AIRPATH alternative,35.386219637387526,726.4080807650146,1081.036503656086,1,True
0.8,2022-02-27T06:00:00,od_03,walking,2.0,walking-1,0,fastest,34.422845694421525,703.6499556064043,1057.0217973896242,2,True
0.8,2022-02-27T06:00:00,od_03,walking,2.0,walking-2,1,AIRPATH alternative,35.386219637387526,726.4080807650146,1081.036503656086,2,True
0.8,2022-02-27T06:00:00,od_03,walking,2.0,walking-3,2,AIRPATH alternative,36.21696908316007,742.6655310655544,1109.911639733962,2,True
0.8,2022-02-27T06:00:00,od_03,walking,3.0,walking-1,0,fastest,34.422845694421525,703.6499556064043,1057.0217973896242,2,True
0.8,2022-02-27T06:00:00,od_03,walking,3.0,walking-2,1,AIRPATH alternative,35.386219637387526,726.4080807650146,1081.036503656086,2,True
0.8,2022-02-27T06:00:00,od_03,walking,3.0,walking-3,2,AIRPATH alternative,36.21696908316007,742.6655310655544,1109.911639733962,2,True
0.8,2022-02-27T06:00:00,od_03,walking,5.0,walking-1,0,fastest,34.422845694421525,703.6499556064043,1057.0217973896242,2,True
0.8,2022-02-27T06:00:00,od_03,walking,5.0,walking-2,1,AIRPATH alternative,35.386219637387526,726.4080807650146,1081.036503656086,2,True
0.8,2022-02-27T06:00:00,od_03,walking,5.0,walking-3,2,AIRPATH alternative,36.21696908316007,742.6655310655544,1109.911639733962,2,True
0.8,2022-02-27T06:00:00,od_03,walking,10.0,walking-1,0,fastest,34.422845694421525,703.6499556064043,1057.0217973896242,5,False
0.8,2022-02-27T06:00:00,od_03,walking,10.0,walking-2,1,AIRPATH alternative,35.386219637387526,726.4080807650146,1081.036503656086,5,False
0.8,2022-02-27T06:00:00,od_03,walking,10.0,walking-3,2,AIRPATH alternative,36.21696908316007,742.6655310655544,1109.911639733962,5,False
0.8,2022-02-27T06:00:00,od_03,walking,10.0,walking-5,3,AIRPATH alternative,41.27048239028817,847.417213331448,1260.4660280664705,5,False
0.8,2022-02-27T06:00:00,od_04,motorbike,0.0,motorbike-1,0,fastest,13.27588258312904,284.4391914557047,422.497581952061,0,True
0.8,2022-02-27T06:00:00,od_04,motorbike,1.0,motorbike-1,0,fastest,13.27588258312904,284.4391914557047,422.497581952061,2,True
0.8,2022-02-27T06:00:00,od_04,motorbike,1.0,motorbike-2,1,AIRPATH alternative,13.620497357443034,292.4684451698737,434.63146725507806,2,True
0.8,2022-02-27T06:00:00,od_04,motorbike,1.0,motorbike-3,2,AIRPATH alternative,14.2432855547095,301.98611800717924,447.5537437992201,2,True
0.8,2022-02-27T06:00:00,od_04,motorbike,2.0,motorbike-1,0,fastest,13.27588258312904,284.4391914557047,422.497581952061,2,True
0.8,2022-02-27T06:00:00,od_04,motorbike,2.0,motorbike-2,1,AIRPATH alternative,13.620497357443034,292.4684451698737,434.63146725507806,2,True
0.8,2022-02-27T06:00:00,od_04,motorbike,2.0,motorbike-3,2,AIRPATH alternative,14.2432855547095,301.98611800717924,447.5537437992201,2,True
0.8,2022-02-27T06:00:00,od_04,motorbike,3.0,motorbike-1,0,fastest,13.27588258312904,284.4391914557047,422.497581952061,3,False
0.8,2022-02-27T06:00:00,od_04,motorbike,3.0,motorbike-2,1,AIRPATH alternative,13.620497357443034,292.4684451698737,434.63146725507806,3,False
0.8,2022-02-27T06:00:00,od_04,motorbike,3.0,motorbike-3,2,AIRPATH alternative,14.2432855547095,301.98611800717924,447.5537437992201,3,False
0.8,2022-02-27T06:00:00,od_04,motorbike,3.0,motorbike-4,3,AIRPATH alternative,15.617407335477344,327.404048693105,484.2592056408615,3,False
0.8,2022-02-27T06:00:00,od_04,motorbike,5.0,motorbike-1,0,fastest,13.27588258312904,284.4391914557047,422.497581952061,4,False
0.8,2022-02-27T06:00:00,od_04,motorbike,5.0,motorbike-2,1,AIRPATH alternative,13.620497357443034,292.4684451698737,434.63146725507806,4,False
0.8,2022-02-27T06:00:00,od_04,motorbike,5.0,motorbike-3,2,AIRPATH alternative,14.2432855547095,301.98611800717924,447.5537437992201,4,False
0.8,2022-02-27T06:00:00,od_04,motorbike,5.0,motorbike-4,3,AIRPATH alternative,15.617407335477344,327.404048693105,484.2592056408615,4,False
0.8,2022-02-27T06:00:00,od_04,motorbike,10.0,motorbike-1,0,fastest,13.27588258312904,284.4391914557047,422.497581952061,6,False
