summary_level,cases,oracle_optimal_agreement_rate,mean_decision_regret,median_decision_regret,max_decision_regret,zero_regret_rate,mode,delta_time_allowed_minutes,departure_time
all,1800,0.9811111111111112,0.00013246836669939265,0.0,0.01863276459363978,0.9811111111111112,,,
mode,900,0.9888888888888889,0.00012094804481349262,0.0,0.018632764593639568,0.9888888888888889,motorbike,,
mode,900,0.9733333333333334,0.00014398868858529263,0.0,0.01863276459363978,0.9733333333333334,walking,,
tolerance,300,1.0,0.0,0.0,0.0,1.0,,0.0,
tolerance,300,0.98,0.00010927466778956507,0.0,0.018632764593639568,0.98,,1.0,
tolerance,300,0.9766666666666667,0.00017138388310169767,0.0,0.01863276459363978,0.9766666666666667,,2.0,
tolerance,300,0.9766666666666667,0.00017138388310169767,0.0,0.01863276459363978,0.9766666666666667,,3.0,
tolerance,300,0.9766666666666667,0.00017138388310169767,0.0,0.01863276459363978,0.9766666666666667,,5.0,
tolerance,300,0.9766666666666667,0.00017138388310169767,0.0,0.01863276459363978,0.9766666666666667,,10.0,
departure,360,0.9583333333333334,5.9597066212629454e-05,0.0,0.004183042368940558,0.9583333333333334,,,2022-02-27T06:00:00
departure,360,0.975,0.00046581911484099155,0.0,0.01863276459363978,0.975,,,2022-02-27T08:00:00
departure,360,0.9861111111111112,9.334393754349349e-05,0.0,0.0067207635031315315,0.9861111111111112,,,2022-02-27T12:00:00
departure,360,0.9861111111111112,4.358171489984866e-05,0.0,0.003137883472789103,0.9861111111111112,,,2022-02-27T17:00:00
departure,360,1.0,0.0,0.0,0.0,1.0,,,2022-02-27T20:00:00
mode_tolerance,150,1.0,0.0,0.0,0.0,1.0,motorbike,0.0,
mode_tolerance,150,0.9866666666666667,0.00014513765377619113,0.0,0.018632764593639568,0.9866666666666667,motorbike,1.0,
mode_tolerance,150,0.9866666666666667,0.00014513765377619113,0.0,0.018632764593639568,0.9866666666666667,motorbike,2.0,
mode_tolerance,150,0.9866666666666667,0.00014513765377619113,0.0,0.018632764593639568,0.9866666666666667,motorbike,3.0,
mode_tolerance,150,0.9866666666666667,0.00014513765377619113,0.0,0.018632764593639568,0.9866666666666667,motorbike,5.0,
mode_tolerance,150,0.9866666666666667,0.00014513765377619113,0.0,0.018632764593639568,0.9866666666666667,motorbike,10.0,
mode_tolerance,150,1.0,0.0,0.0,0.0,1.0,walking,0.0,
mode_tolerance,150,0.9733333333333334,7.341168180293902e-05,0.0,0.0067207635031315315,0.9733333333333334,walking,1.0,
mode_tolerance,150,0.9666666666666667,0.00019763011242720423,0.0,0.01863276459363978,0.9666666666666667,walking,2.0,
mode_tolerance,150,0.9666666666666667,0.00019763011242720423,0.0,0.01863276459363978,0.9666666666666667,walking,3.0,
mode_tolerance,150,0.9666666666666667,0.00019763011242720423,0.0,0.01863276459363978,0.9666666666666667,walking,5.0,
mode_tolerance,150,0.9666666666666667,0.00019763011242720423,0.0,0.01863276459363978,0.9666666666666667,walking,10.0,
