summary_level,perturbation_scale,cases,top1_agreement_rate,mean_top3_overlap_fraction,mean_abs_travel_time_difference_minutes,mean_abs_predicted_exposure_difference,mean_decision_regret_difference,mode,delta_time_allowed_minutes
mode_tolerance,0.8,150,1.0,1.0,0.0,42.5362638127529,0.0,motorbike,10.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.58999607670438,0.0,walking,0.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.57878331782302,0.0,walking,1.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.57023469794512,0.0,walking,2.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.57023469794512,0.0,walking,3.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.57023469794512,0.0,walking,5.0
mode_tolerance,0.8,150,1.0,1.0,0.0,203.57023469794512,0.0,walking,10.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.27193839118871,0.0,motorbike,0.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.26813190637645,0.0,motorbike,1.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.26813190637645,0.0,motorbike,2.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.26813190637645,0.0,motorbike,3.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.26813190637645,0.0,motorbike,5.0
mode_tolerance,0.9,150,1.0,1.0,0.0,21.26813190637645,0.0,motorbike,10.0
mode_tolerance,0.9,150,1.0,1.0,0.0,101.79499803835219,0.0,walking,0.0
mode_tolerance,0.9,150,1.0,1.0,0.0,101.78939165891151,0.0,walking,1.0
mode_tolerance,0.9,150,1.0,1.0,0.0,101.78511734897256,0.0,walking,2.0
mode_tolerance,0.9,150,1.0,1.0,0.0,101.78511734897256,0.0,walking,3.0
mode_tolerance,0.9,150,1.0,1.0,0.0,101.78511734897256,0.0,walking,5.0
mode_tolerance,0.9,150,1.0,1.0,0.0,101.78511734897256,0.0,walking,10.0
mode_tolerance,0.95,150,1.0,1.0,0.0,10.635969195594367,0.0,motorbike,0.0
mode_tolerance,0.95,150,1.0,1.0,0.0,10.634065953188237,0.0,motorbike,1.0
mode_tolerance,0.95,150,1.0,1.0,0.0,10.634065953188237,0.0,motorbike,2.0
mode_tolerance,0.95,150,1.0,1.0,0.0,10.634065953188237,0.0,motorbike,3.0
mode_tolerance,0.95,150,1.0,1.0,0.0,10.634065953188237,0.0,motorbike,5.0
mode_tolerance,0.95,150,1.0,1.0,0.0,10.634065953188237,0.0,motorbike,10.0
mode_tolerance,0.95,150,1.0,1.0,0.0,50.89749901917615,0.0,walking,0.0
mode_tolerance,0.95,150,1.0,1.0,0.0,50.89469582945581,0.0,walking,1.0
mode_tolerance,0.95,150,1.0,1.0,0.0,50.89255867448634,0.0,walking,2.0
mode_tolerance,0.95,150,1.0,1.0,0.0,50.89255867448634,0.0,walking,3.0
mode_tolerance,0.95,150,1.0,1.0,0.0,50.89255867448634,0.0,walking,5.0
mode_tolerance,0.95,150,1.0,1.0,0.0,50.89255867448634,0.0,walking,10.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,motorbike,0.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,motorbike,1.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,motorbike,2.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,motorbike,3.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,motorbike,5.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,motorbike,10.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,walking,0.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,walking,1.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,walking,2.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,walking,3.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,walking,5.0
mode_tolerance,1.0,150,1.0,1.0,0.0,0.0,0.0,walking,10.0
mode_tolerance,1.05,150,1.0,1.0,0.0,10.635969195594367,0.0,motorbike,0.0
mode_tolerance,1.05,150,1.0,1.0,0.0,10.634065953188237,0.0,motorbike,1.0
mode_tolerance,1.05,150,1.0,1.0,0.0,10.634065953188237,0.0,motorbike,2.0
mode_tolerance,1.05,150,1.0,1.0,0.0,10.634065953188237,0.0,motorbike,3.0
mode_tolerance,1.05,150,1.0,1.0,0.0,10.634065953188237,0.0,motorbike,5.0
mode_tolerance,1.05,150,1.0,1.0,0.0,10.634065953188237,0.0,motorbike,10.0
mode_tolerance,1.05,150,1.0,1.0,0.0,50.89749901917615,0.0,walking,0.0
mode_tolerance,1.05,150,1.0,1.0,0.0,50.89469582945581,0.0,walking,1.0
mode_tolerance,1.05,150,1.0,1.0,0.0,50.89255867448634,0.0,walking,2.0
mode_tolerance,1.05,150,1.0,1.0,0.0,50.89255867448634,0.0,walking,3.0
mode_tolerance,1.05,150,1.0,1.0,0.0,50.89255867448634,0.0,walking,5.0
mode_tolerance,1.05,150,1.0,1.0,0.0,50.89255867448634,0.0,walking,10.0
mode_tolerance,1.1,150,1.0,1.0,0.0,21.271938391188733,0.0,motorbike,0.0
mode_tolerance,1.1,150,1.0,1.0,0.0,21.268131906376475,0.0,motorbike,1.0
mode_tolerance,1.1,150,1.0,1.0,0.0,21.268131906376475,0.0,motorbike,2.0
mode_tolerance,1.1,150,1.0,1.0,0.0,21.268131906376475,0.0,motorbike,3.0
mode_tolerance,1.1,150,1.0,1.0,0.0,21.268131906376475,0.0,motorbike,5.0
mode_tolerance,1.1,150,1.0,1.0,0.0,21.268131906376475,0.0,motorbike,10.0
mode_tolerance,1.1,150,1.0,1.0,0.0,101.79499803835232,0.0,walking,0.0
mode_tolerance,1.1,150,1.0,1.0,0.0,101.78939165891163,0.0,walking,1.0
mode_tolerance,1.1,150,1.0,1.0,0.0,101.78511734897268,0.0,walking,2.0
mode_tolerance,1.1,150,1.0,1.0,0.0,101.78511734897268,0.0,walking,3.0
