scenario_id,mode,route_id,total_distance_m,total_travel_time_minutes,segment_count,static_exposure_index,airpath_exposure_index,oracle_exposure_index,absolute_exposure_difference_airpath_minus_static,percentage_exposure_difference_airpath_vs_static,edge_jaccard_with_fastest,edge_difference_fraction_from_fastest,evaluation_label,forecaster,exposure_framework_b,departure_time,forecasting_origin,clock_time
od_01,motorbike,motorbike-8,7908.227114304611,18.979745074331063,368,503.7198649490782,495.3425716369673,578.8791384670816,-8.377293312110965,-1.6630857536178043,0.0041237113402061,0.9958762886597938,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,walking,walking-1,4031.174773347975,48.3740972801757,136,1488.95252460271,1375.1816453007968,1675.402929805511,-113.77087930191328,-7.641001134825988,1.0,0.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,walking,walking-2,4179.665283735303,50.15598340482364,132,1460.7905356833116,1374.3701020422425,1660.5023742497783,-86.42043364106917,-5.916004487299367,0.0307692307692307,0.9692307692307692,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,walking,walking-3,4203.115373844201,50.43738448613041,118,1528.752639563189,1419.3533812710446,1724.664041879906,-109.3992582921444,-7.1561124711060575,0.0495867768595041,0.9504132231404958,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,walking,walking-4,4798.739244471271,57.58487093365526,200,1713.1140910998113,1600.8012385843167,1938.8712046374044,-112.31285251549455,-6.556063784601189,0.009009009009009,0.990990990990991,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,walking,walking-5,4768.99194159527,57.22790329914324,156,1751.0276690388173,1620.2776256456812,1972.6740928204697,-130.75004339313614,-7.467046106981741,0.0391459074733096,0.9608540925266904,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,walking,walking-6,4882.431836484403,58.58918203781283,186,1842.9258530670331,1689.2536462378937,2067.048725845185,-153.67220682913967,-8.338491023575115,0.032051282051282,0.967948717948718,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,walking,walking-7,5247.301907237375,62.9676228868485,143,1939.83946591356,1787.2089818067657,2173.404688887288,-152.6304841067947,-7.868201817149543,0.0856031128404669,0.914396887159533,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,walking,walking-8,4032.874831255277,48.39449797506333,134,1492.2048687660476,1377.3427880741324,1678.6008116658654,-114.86208069191524,-7.697473925741739,0.656441717791411,0.3435582822085889,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
od_02,motorbike,motorbike-1,4031.174773347975,9.67481945603514,136,297.79050492054216,275.0363290601593,335.0805859611023,-22.754175860382876,-7.641001134826058,1.0,0.0,development_exploratory_not_untouched_final,C_xgboost_current_pm,hourly_forecast_bucket_aware_arrival_time_exposure,2022-02-27T06:00:00,2022-02-27T05:00:00,06:00
